id,name,artist,release-date,release-country,duration,tracks_track_name,tracks_track_duration,tracks_track_position
mbrainz_57,TZ Goes Beyond 10!,Outlander feat.,1992-01-01,Belgium,1444,"['Psycho Tribe', 'Sonic Assault', 'To You', 'Prime Instinct']","['422', '301', '328', '393']","['1', '2', '3', '4']"
mbrainz_59,Voodoopussy (orig.),Voodooamt,1998-01,Germany,789,"['Voodoopussy', 'Voodootoon']","['477', '312']","['1', '2']"
mbrainz_60,Voodoo,"Kruse, Monika @ Voodooamt",1998-03,Germany,1072,"['Voodoo', 'Screwdriver', 'Itchy']","['338', '380', '354']","['1', '2', '3']"
mbrainz_61,The Contino Sessions,Death in Vegas,1999-09-22,Japan,3614,"['Dirge', 'Soul Auctioneer', 'Death Threat', 'Flying', 'Aisha', 'Lever Street', 'Aladdinâ€™s Story', 'Broken Little Sister', 'Neptune City', ""Luther's Funk"", 'Blood Yawning']","['344', '359', '290', '426', '354', '219', '285', '318', '298', '436']","['1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11']"
mbrainz_62,The Call of the Confuciusornis Remixes,Sculpturism,2001-01-01,Netherlands,0,"['The Call of the Confuciusornis (Freezing in Warschau remix)', ""The Vulcan's Hammer (Stoned in Uden mix)""]",[],"['1', '2']"
mbrainz_64,Still Life,Amongst Myselves,2001-06-01,Australia,3684,"[""Ra's Playground"", 'Shepherds of the Rings', 'The Ground Melts', 'Ship of Dreams', 'Safe in Narwang Baru', 'Encounter at the Bay', ""Lowell's Legacy"", 'Darkness', 'Relics of an Early Universe']","['684', '398', '106', '365', '576', '651', '257', '345', '302']","['1', '2', '3', '4', '5', '6', '7', '8', '9']"
mbrainz_65,Electronic Fragments EP,Skanfrom,2000-01-01,Germany,0,"['In', 'Fragment', 'Remote', 'Cashier', 'Telepho:n', 'Out']",[],"['1', '2', '3', '4', '5', '6']"
mbrainz_66,Trouble / Daylight,Q Project,2001-01-01,United Kingdom,0,"['Trouble', 'Daylight']",[],"['1', '2']"
mbrainz_67,Violator,"Varley, Gez",2001-01-01,Germany,0,"['Violator', 'Violator (S.R.I. remix)', 'Violator (Thomas P. Heckmann remix)', 'Violator (Stewart Walker remix)']",[],"['1', '2', '3', '4']"
mbrainz_68,Quiet Is the New Loud,"Remote Viewer, The",2000-01-01,United Kingdom,0,"['How Did We Get It So Wrong?', 'A Lot of Ifs (Inzamam)', 'Press It On', 'Quiet Is the New Loud', 'Does It Take Turn', 'Slowly, in Waves']",[],"['1', '2', '3', '4', '5', '6']"
mbrainz_69,To Let Go,"Romanenko, Mikael",2001-07-16,United Kingdom,1769,"['La Belle Femme (mix 2)', 'Diary', 'Composition Five', 'Composition One', 'Guralat', 'Wrong']","['246', '235', '320', '242', '305', '421']","['1', '2', '3', '4', '5', '6']"
mbrainz_70,Spirit (album),"Williams, Cunnie",2001-01-01,Germany,0,"['Spirit (MAW mix)', ""Barry's Mood (Ferry's Mood mix)""]",[],"['1', '2']"
mbrainz_71,Surrender Now,Progression,2000-01,United States,0,"['Surrender Now', 'Tribal Dub', 'Drums of Life']",[],"['1', '2', '3']"
mbrainz_72,Spaces,"Ruoho, Esa",2001-06-26,Belgium,1954,"['Pond Assemblage', 'Med Test', 'Space']","['924', '558', '472']","['1', '2', '3']"
mbrainz_73,Yesterday Was Dramatic - Today Is OK,mÃºm,2007-09-21,Japan,4053,"['Iâ€™m 9 Today', 'Smell Memory', 'There Is a Number of Small Things', 'Random Summer', 'Asleep on a Train', 'Awake on a Train', 'The Ballad of the Broken Birdie Records', 'The Ballad of the Broken String', 'Sunday Night Just Keeps on Rolling', 'Slow Bicycle']","['282', '561', '391', '197', '437', '563', '325', '285', '491', '521']","['1', '2', '3', '4', '5', '6', '7', '8', '9', '10']"
mbrainz_74,To the Music,Mojolators,2000-01-01,United States,537,"['To the Music', 'Drifting']",['537'],"['1', '2']"
mbrainz_75,After the Dance EP,"Greene, Greg",1999-01-01,United Kingdom,0,"['After the Dance (Pagan edit)', 'After the Dance (Rob Mello remix)']",[],"['1', '2']"
mbrainz_76,Enchanting Signs,Beanfield,1999-01-01,Germany,1710,"[""Enchanting Signs (Beanfield's extended mix)"", 'Corso', 'Enchanting Signs (Off World remix)', 'Enchanting Signs (vocal version)']","['460', '403', '468', '379']","['1', '2', '3', '4']"
mbrainz_77,Momentum / Immersion,Deep Blue,2001-01-01,United Kingdom,893,"['Momentum', 'Immersion']","['424', '469']","['1', '2']"
mbrainz_78,Joyride,"Diamond, Benjamin",2000-01-01,France,0,"['Joyride', 'Joyride (dub)']",[],"['1', '2']"
mbrainz_79,On the Dancefloor EP,"Griffin, Willie",2001-07,United Kingdom,0,"['On the Dancefloor', 'Classic Fingers', 'Mystical Journey']",[],"['1', '2', '3']"
mbrainz_80,The Low Empire,Mainline Crux,2001-01-01,United Kingdom,0,"['Modern Days', 'Shutter the Fog', 'Horizon', 'The Maze', 'Lowdown', 'La Only', 'Ask the Judge', 'Bad Blood', 'Automatic Operator', 'Sparkle On', 'Burning Room', 'The Fade', ""Liar's Rain"", 'Exit Ramp']",[],"['1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14']"
mbrainz_81,I Can't (Fall in Love With Another One),Dub Taylor,2000-10,Germany,1428,"[""I Can't (Fall in Love With Another One)"", 'Saturday Morning', 'Lush']","['500', '409', '519']","['1', '2', '3']"
mbrainz_82,Classics 2,Ten City,2001-01-01,United States,1167,"[""That's the Way Love Is"", 'Deep Kiss', 'Devotion']","['489', '270', '408']","['1', '2', '3']"
mbrainz_83,Replicant EP (album),Pacou,2001-01-01,Netherlands,0,"['Bond Energy', 'ATP', 'Robot M', 'Controlling Atoms']",[],"['1', '2', '3', '4']"
mbrainz_85,Shelter EP,Beat Foundation,1996-01-01,United Kingdom,"['0', '0']","['Give Me Shelter (Velvet mix)', 'Give Me Shelter (Rawhide mix)', 'Rain or Shine', 'Wedded Blysse', 'Seven Steps']",[],"['1', '2', '3']"
mbrainz_86,Health Warning,trance[]control feat.,2000-01-01,United States,286,"['Psychotic Chaos', 'Welcome to the House']",['286'],"['1', '2']"
mbrainz_87,Electronic Illusions,"Tomasone, Chris",2000-01-01,United States,0,"['Its Getting Closer', 'Furious Loops', 'Anythings Possible']",[],"['1', '2', '3']"
mbrainz_88,Final Warning / Connections,Kraken,1997-01-01,United Kingdom,0,"['Final Warning', 'Connections']",[],"['1', '2']"
mbrainz_89,Angel Dust / Nerve,Cause 4 Concern,2000-06-21,United Kingdom,722,"['Angel Dust', 'Nerve']","['356', '366']","['1', '2']"
mbrainz_90,Broken Promise / Pulse Code,Simon V,1998-08-01,Germany,860,"['Broken Promise', 'Pulse Code']",['430'],"['1', '2']"
mbrainz_91,Haze / Contrast,PHD,1999-01-01,United Kingdom,1084,"['Haze', 'Contrast']","['565', '519']","['1', '2']"
mbrainz_92,Classics 1,Ten City,2001-01-01,United States,1124,"['Only Time Will Tell', 'All Loved Out', 'Suspicious']","['552', '298', '274']","['1', '2', '3']"
mbrainz_93,Stormfields / Spiritual Awareness,"Invisible Man, The",1997-01-01,United Kingdom,1118,"['Stormfields', 'Spiritual Awareness']","['640', '478']","['1', '2']"
mbrainz_94,Fairlight / Desert Traveller,Artemis,1999-01-01,United Kingdom,940,"['Fairlight', 'Desert Traveller']","['448', '492']","['1', '2']"
mbrainz_95,Absolution E.P.,G-Force,2000-01-01,Belgium,0,"['Action', 'Feeling', 'Feeling (Gaetano Parisio remix)', 'Action (Samuel L. remix)']",[],"['1', '2', '3', '4']"
mbrainz_96,Life in the Savage Garden E.P. (album),"Curtin, Dan",1997-01-01,United Kingdom,0,"['Maintain', 'Fade', 'At You', 'Running']",[],"['1', '2', '3', '4']"
mbrainz_97,The Butterfly EP,"Nazuka, Chris",1999-01-01,United States,"['0', '0']","['Pick Your Poison', 'Pick Your Poison (Internal mix)', 'Shadowboxing', 'Blue', '4 A.M']",[],"['1', '2', '3']"
mbrainz_98,Contra EP,Umek,2000-01-01,Switzerland,0,"['Voltaren', 'Soludeks', 'Tetrakain', 'Felinon']",[],"['1', '2', '3', '4']"
mbrainz_99,Butterfly Catcher,Fauna Flash,1995-01-01,Germany,1476,"['Butterfly Catcher', 'Journey Into Scoose', 'Lunatic Jam', 'Butterfly Catcher (In the Ozone)']","['368', '399', '332', '377']","['1', '2', '3', '4']"
mbrainz_100,Brave New World,"Riley, Bill",2000-01-01,United Kingdom,0,"['Brave New World', 'Plan B']",[],"['1', '2']"
mbrainz_102,Soul Experience,Soul Experience,2004-01-22,United States,0,"['Listen to Me', ""I Can't Stand Up""]",[],"['1', '2']"
mbrainz_103,Purple EP,"Assault, DJ",2003-01-01,United States,755,"['Dia Daa Daa (remix)', 'Sex on the Beach', 'Funky Bitch', 'Funky Bitch (instrumental)']","['217', '221', '162', '155']","['1', '2', '3', '4']"
mbrainz_104,Diagnosis / Accelerate,Felony,2001-01-01,United Kingdom,0,"['Diagnosis', 'Accelerate']",[],"['1', '2']"
mbrainz_106,Mono in Chrome,"Stoll, Steve",1998-01-01,United States,0,['[untitled]'],[],"['1', '2', '3', '4']"
mbrainz_107,Electronic Radiation E.P.,G-Force,1999-11-02,United Kingdom,0,"['Look at the Curve!', 'Special AJ', 'Terminate the Source!', 'It Burns']",[],"['1', '2', '3', '4']"
mbrainz_108,Feel the Drums,Native,2000-01-27,United Kingdom,0,"['Feel the Drums (original mix)', 'Feel the Drums (Tough mix)', 'Feel the Drums (Public Domain mix)']",[],"['1', '2', '3']"
mbrainz_110,Supernatural (You're So),"Stoll, Steve",1999-09-01,United States,0,"[""Supernatural (You're So) (Brooklyn Bridge mix)"", ""Supernatural (You're So) (album version)"", 'Chutes and Ladders', ""Supernatural (You're So) (Dusty Loop edit)""]",[],"['1', '2', '3', '4']"
mbrainz_111,Fruits of the Spirit,"Williams, Boo",1999-07-31,United States,0,"['Fruits of the Spirit', 'Hiding Secrets', 'Crying Black Man', 'Changes']",[],"['1', '2', '3', '4']"
mbrainz_112,Visions Of The Future,"Farris, Gene",2008-04,United States,936,"['Visions Of The Future (Roy Davis Jr. Remix)', 'Visions Of The Future (Fabio Bacchini Dub Mix)', 'Visions Of The Future (Original Mix)']","['548', '388']","['1', '2', '3']"
mbrainz_113,Musicology EP,"Marks, Niko",1999-01-01,Belgium,0,"['Feel My Groove', 'Musicology', 'Musicology (Jazz mix)', 'My Music']",[],"['1', '2', '3', '4']"
mbrainz_114,Deep Experience EP,"Miller, Alton",2000-11-13,United States,1349,"['Sonic System', ""No Stoppin'"", 'Deep Experience', 'Line 2']","['386', '373', '330', '260']","['1', '2', '3', '4']"
mbrainz_115,Requiem pour un Empire,Autopsia,1991-01-01,Germany,960,"['Intro 1982', 'Lebensherrgabe 1983 - 1991', 'Zinnia 1982']","['217', '498', '245']","['1', '2', '3']"
mbrainz_116,Tidal Frequencies,Norken,1998-01-01,United Kingdom,0,"['Just a Phase', 'Instamatic', 'Motor Breeze', 'Fragile']",[],"['1', '2', '3', '4']"
mbrainz_117,Blackout / Dogfight (album),Dylan,1998-11-16,United Kingdom,0,"['Blackout', 'Dogfight']",[],"['1', '2']"
mbrainz_118,Inside Straight / Troublefunk,EinzelgÃ¤nger,1998-07-06,Germany,0,"['Inside Straight', 'Troublefunk']",[],"['1', '2']"
mbrainz_119,Mother Earth,Dubtribe Sound System,1993-01-01,United States,1827,"['Mother Earth', 'Mother Earth (remix)', ""Mother Earth (Sunshine's remix) (feat. DJ Collage)"", 'Memory (edit)']","['623', '450', '462', '292']","['1', '2', '3', '4']"
mbrainz_120,Sensitive Electronic Devices,Electrostatic,1997-01-01,United States,2277,"['Eternity', 'Someday', 'Magnetic Pulse (instrumental)', 'Reflection', 'Swallowtail', 'Stain', 'Inside You', 'Feel']","['382', '259', '265', '264', '248', '316', '287', '256']","['1', '2', '3', '4', '5', '6', '7', '8']"
mbrainz_122,Primitive,Rubec,2001-10-22,United Kingdom,0,"['Primitive', 'Primitive (Wardance mix)']",[],"['1', '2']"
mbrainz_123,Purple Zone EP,Access 58,1999-02-22,United Kingdom,0,"['Kiribati 2000', 'Propulse', 'Sweet Back', 'Abstract Funk']",[],"['1', '2', '3', '4']"
mbrainz_124,Millions Now Living Will Never Die,Tortoise,1996-01-01,Germany,2579,"['Djed', 'Glass Museum', 'A Survey', 'The Taut and Tame', 'Dear Grandma and Grandpa', 'Along the Banks of Rivers']","['1257', '329', '172', '301', '169', '351']","['1', '2', '3', '4', '5', '6']"
mbrainz_127,Un Dia Soleado / Only Dubbin' on My 808,Jeremiah,2000-09-11,Austria,0,"['Un Dia Soleado', ""Only Dubbin' on My 808""]",[],"['1', '2']"
mbrainz_128,The Spirit Is Justified,Ritmo de Vida,1996-07-29,United Kingdom,"['1743', '1444']","['The Spirit Is Justified (Tranceformation mix)', 'The Spirit Is Justified (Aquatic mix)', ""The Spirit Is Justified (Phoenix's Deep Space mix)"", 'The Spirit Is Justified (Outdares Full Throttle mix)', 'The Spirit Is Justified (Outdares intro Epilogue)', 'The Spirit Is Justified (Tantra dub)', ""The Spirit Is Justified (Lee Frederick's Restrained dub)""]","['805', '490', '448', '480', '222', '310', '432']","['1', '2', '3', '4']"
mbrainz_129,Too Dark Park EP,Headroom,1999-07-19,United Kingdom,0,"['Tuker', 'Cope', 'Top']",[],"['1', '2', '3']"
mbrainz_130,Fallen,One Dove,1991-10-01,United Kingdom,1155,"['Fallen (Darkest Hour)', 'Fallen (Dawn)', 'Fallen (Dusk)']","['476', '367', '312']","['1', '2', '3']"
mbrainz_131,Resurrection EP,"Verbos, Mark",2001-08-20,United States,0,['[untitled]'],[],"['1', '2', '3', '4']"
mbrainz_132,Jupiter Sunrise,"Deason, Sean",1996-09-02,Germany,0,"['Jupiter Sunrise', 'Inside Out', 'Razorback', 'Vibe']",[],"['1', '2', '3', '4']"
mbrainz_134,Small Craft Warnings Remixes (orig.),"Gordon, Alex",2001-01-01,United States,0,"['Small Craft Warnings (John Tejada remix)', 'Small Craft Warnings (Alex Gordon/Low Fi remix)', 'Small Craft Warnings (Justin Warfield remix)', 'Small Craft Warnings (Alex Gordon Land mix)']",[],"['1', '2', '3', '4']"
mbrainz_135,Colors,Future Prophecies,2001-10-01,United Kingdom,888,"['Colors', 'Colors (dub)']",['444'],"['1', '2']"
mbrainz_136,Man Out of Time EP,G.O.L.,2000-01-01,United States,1425,"['Free Man', 'Leisure', 'Changing Time', 'Centered']","['440', '317', '357', '311']","['1', '2', '3', '4']"
mbrainz_137,Danger Room / Lost Souls,"Fitzpatrick, Lester",1997-10,United Kingdom,0,"['Danger Room', 'Lost Souls']",[],"['1', '2']"
mbrainz_139,The Continuation,"Architex, The",1996-01-01,United Kingdom,824,"['Somewhere', 'Secrets']","['423', '401']","['1', '2']"
mbrainz_140,Hyper Experience / Strobe Light Network,Cold,1996-01-01,Belgium,1678,"['Hyper Experience', 'Hyper Experience (Hyper dub mix)', 'Strobe Light Network']","['390', '898']","['1', '2', '3']"
mbrainz_141,It's the Music,Meat Beat Manifesto,1996-01-01,United Kingdom,0,"[""It's the Music"", ""It's Just the Music"", 'I Control (Audio Collage #2)', 'Asbestos Lead Asbestos (Plug mix)']",[],"['1', '2', '3', '4']"
mbrainz_142,Chrome Feather Future,Reptilica,1999-10-01,United States,2137,"['Eyeball Room', 'Animal Model', 'Camiante', 'Queen of Luxury', 'Japanese Vein Device', 'The Rope Leads Down', 'Autobot', 'Drive to MN', 'Flight 0.8', 'Deep Sea Friends', 'Defuse the Dragon', 'Beyond the Herd']","['159', '174', '266', '135', '204', '108', '132', '197', '196', '202', '256']","['1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12']"
mbrainz_143,Fallen (remix) / Bad Dreams,Matrix,2001-01-01,United Kingdom,696,"['Fallen (remix)', 'Bad Dreams']","['354', '342']","['1', '2']"
mbrainz_144,Struggle Gentlemen,S-Club feat.,1998-01-01,Germany,835,"['Gentlemen Need Struggle', 'Gentlemen Need Deeper']","['433', '402']","['1', '2']"
mbrainz_145,United Future Organization,United Future Organization,1993-01-01,United Kingdom,2847,"['The Sixth Sense', 'On Est Ensemble Sans Se Parler', 'Vinyl Junkie', 'Upa Neguinho', ""I'll Bet You Thought I'd Never Find You"", 'Poetry and All That Jazz', 'Be Here Now', 'My Foolish Dream', 'Off Road']","['426', '301', '339', '262', '470', '336', '182', '362', '169']","['1', '2', '3', '4', '5', '6', '7', '8', '9']"
mbrainz_147,Disco Damnation,Wicked,1996-12-09,Netherlands,1255,"['Disco Damnation (remix)', 'Disco Damnation (original)', 'Work It']","['312', '419', '524']","['1', '2', '3']"
mbrainz_148,Party Time / Brave New World,G Squad,2001-01-01,United Kingdom,0,"['Party Time', 'Brave New World']",[],"['1', '2']"
