fused_id,source_id,source_dataset,source___id,source__Continent,source__Market Value,source__Profits,source__Rank,source__Sales,source__Sector,source__assets,source__city,source__country,source__founded,source__id,source__industry,source__keypeople_name,source__name,fused___id,fused__Continent,fused__Market Value,fused__Profits,fused__Rank,fused__Sales,fused__Sector,fused__assets,fused__city,fused__country,fused__founded,fused__id,fused__industry,fused__keypeople_name,fused__name
fullcontact_293,fullcontact_293,fullcontact,,,,,,,,,Rome,Italy,1953-01-01,fullcontact_293,,,Eni,fullcontact_293,Europe,90.9,6.9,39.0,128800000000.0,Energy,139641000000.0,Rome,Italy,1953-01-01,fullcontact_293,Oil & Gas Operations,,Eni
fullcontact_442,fullcontact_442,fullcontact,,,,,,,,,New Brunswick,United States,1886-01-01,fullcontact_442,,,Johnson & Johnson,fullcontact_442,North America,277.0,13.8,41.0,71.3,Health Care,132.7,New Brunswick,United States,1886-01-01,fullcontact_442,Medical Equipment & Supplies,,Johnson & Johnson
fullcontact_151,fullcontact_151,fullcontact,,,,,,,,,Melbourne,Australia,,fullcontact_151,,,BHP Billiton,fullcontact_151,Australia,182.3,14.8,44.0,67.7,Materials,151.0,Melbourne,Australia,2004-01-01,fullcontact_151,Diversified Metals & Mining,,BHP Billiton
fullcontact_586,fullcontact_586,fullcontact,,,,,,,,,New York,United States,1848-01-01,fullcontact_586,,,Pfizer,fullcontact_586,North America,203.9,22.0,45.0,52.7,Health Care,172.1,New York,United States,1848-01-01,fullcontact_586,Pharmaceuticals,,Pfizer
fullcontact_158,fullcontact_158,fullcontact,,,,,,,,,Munich,Germany,1916-01-01,fullcontact_158,,,BMW Group,fullcontact_158,Europe,83.4,7.1,48.0,76840000000.0,Consumer Discretionary,131850000000.0,Munich,Germany,1916-01-01,fullcontact_158,Auto & Truck Manufacturers,Franz Josef Popp,BMW Group
fullcontact_281,fullcontact_281,fullcontact,,,,,,,,,Paris,France,,fullcontact_281,,,EDF,fullcontact_281,Europe,75.8,4.5,50.0,100.4,Utilities,353.9,Paris,France,,fullcontact_281,Electric Utilities,,EDF
fullcontact_701,fullcontact_701,fullcontact,,,,,,,,,Stavanger,Norway,1972-01-01,fullcontact_701,,,Statoil,fullcontact_701,Europe,89.2,6.8,51.0,105.2,Energy,146.0,Stavanger,Norway,1972-01-01,fullcontact_701,Oil & Gas Operations,,Statoil
fullcontact_670,fullcontact_670,fullcontact,,,,,,,,,Munich,Germany,1847-01-01,fullcontact_670,,,Siemens,fullcontact_670,Europe,114.2,6.0,53.0,99.7,Industrials,140.1,Munich,Germany,1847-01-01,fullcontact_670,Telecommunications equipment,,Siemens
fullcontact_506,fullcontact_506,fullcontact,,,,,,,,,New York,United States,1868-01-01,fullcontact_506,,,MetLife,fullcontact_506,North America,60.0,3.4,69.0,71.0,Financials,885.3,New York,United States,1868-01-01,fullcontact_506,Diversified Insurance,"William Nickerson, Jr.",MetLife
fullcontact_291,fullcontact_291,fullcontact,,,,,,,,,Rome,Italy,1962-01-01,fullcontact_291,,,Enel,fullcontact_291,Europe,53.2,4.3,71.0,109800000000.0,Utilities,169800000000.0,Rome,Italy,1962-01-01,fullcontact_291,Electric Utilities,Politics of Italy,Enel
fullcontact_138,fullcontact_138,fullcontact,,,,,,,,,Ludwigshafen,Germany,1865-01-01,fullcontact_138,,,BASF,fullcontact_138,Europe,102.3,6.4,72.0,98.2,Materials,88.7,Ludwigshafen,Germany,1865-01-01,fullcontact_138,Diversified Chemicals,,BASF
fullcontact_230,fullcontact_230,fullcontact,,,,,,,,,Houston,United States,,fullcontact_230,,,ConocoPhillips,fullcontact_230,North America,86.3,9.2,76.0,55.6,Energy,118.1,Houston,United States,,fullcontact_230,Oil & Gas Operations,,ConocoPhillips
fullcontact_765,fullcontact_765,fullcontact,,,,,,,,,Zurich,Switzerland,1862-01-01,fullcontact_765,,,UBS,fullcontact_765,Europe,81.0,3.4,79.0,39.7,Financials,1135.5,Zurich,Switzerland,1862-01-01,fullcontact_765,Investment Services,,UBS
fullcontact_389,fullcontact_389,fullcontact,,,,,,,,,Palo Alto,United States,1939-01-01,fullcontact_389,,David Packard,Hewlett-Packard,fullcontact_389,North America,63.0,5.3,80.0,112.1,Information Technology,105676000000.0,Palo Alto,United States,1939-01-01,fullcontact_389,Information technology consulting,"['Rod Canion', 'Compaq', 'Jim Harris (entrepreneur)']",Hewlett-Packard
fullcontact_773,fullcontact_773,fullcontact,,,,,,,,,Minneapolis,United States,,fullcontact_773,,,UnitedHealth Group,fullcontact_773,North America,81.0,5.6,84.0,122.5,Health Care,81.9,Minneapolis,United States,1995-01-01,fullcontact_773,Managed Health Care,,UnitedHealth Group
fullcontact_580,fullcontact_580,fullcontact,,,,,,,,,Purchase,United States,1898-01-01,fullcontact_580,,,PepsiCo,fullcontact_580,North America,126.2,6.7,93.0,66.4,Consumer Staples,77.5,Purchase,United States,1898-01-01,fullcontact_580,Beverages,,PepsiCo
fullcontact_1016,fullcontact_1016,fullcontact,,,,,,,,,Los Angeles,United States,1981-01-01,fullcontact_1016,,,Curacao,fullcontact_1016,North America,87.8,4.6,96.0,126.8,Consumer Staples,71.5,Los Angeles,United States,1981-01-01,fullcontact_1016,Drug Retail,,CVS Caremark
fullcontact_1256,fullcontact_1256,fullcontact,,,,,,,,,Burbank,United States,1923-01-01,fullcontact_1256,,,Walt Disney Animation Studios,fullcontact_1256,North America,142.9,6.6,100.0,46.0,Consumer Discretionary,83.2,Burbank,United States,1923-01-01,fullcontact_1256,Broadcasting & Cable,,Walt Disney Animation Studios
fullcontact_520,fullcontact_520,fullcontact,,,,,,,,,New York,United States,,fullcontact_520,,,Morgan Stanley,fullcontact_520,North America,61.7,2.8,106.0,40.8,Financials,832.7,New York,United States,,fullcontact_520,Investment Services,,Morgan Stanley
fullcontact_348,fullcontact_348,fullcontact,,,,,,,,,Trieste,Italy,1831-01-01,fullcontact_348,,,Generali Group,fullcontact_348,Europe,34.5,2.5,114.0,100.5,Financials,602.8,Trieste,Italy,1831-01-01,fullcontact_348,Diversified Insurance,,Generali Group
fullcontact_139,fullcontact_139,fullcontact,,,,,,,,,Leverkusen,Germany,1863-01-01,fullcontact_139,,,Bayer,fullcontact_139,Europe,111.3,4.2,120.0,53.3,Materials,70.7,Leverkusen,Germany,1863-01-01,fullcontact_139,Diversified Chemicals,,Bayer
fullcontact_208,fullcontact_208,fullcontact,,,,,,,,,BEIJING,China,,fullcontact_208,,,"China Coal Energy Co., Ltd.",fullcontact_208,Asia,57.6,7.2,124.0,42.8,Materials,80.4,BEIJING,China,1995-01-01,fullcontact_208,Diversified Metals & Mining,,China Shenhua Energy
fullcontact_280,fullcontact_280,fullcontact,,,,,,,,,Bogotá,Colombia,,fullcontact_280,,,ECOPETROL S.A,fullcontact_280,South America,83.6,7.0,128.0,38800000000.0,Energy,68.5,Bogotá,Colombia,1921-01-01,fullcontact_280,Oil & Gas Operations,,Ecopetrol
fullcontact_712,fullcontact_712,fullcontact,,,,,,,,,Zürich,Switzerland,1863-01-01,fullcontact_712,,,Swiss RE,fullcontact_712,Europe,34.7,4.4,132.0,17000000.0,Financials,170530.0,Zürich,Switzerland,1863-01-01,fullcontact_712,Diversified Insurance,,Swiss Re
fullcontact_124,fullcontact_124,fullcontact,,,,,,,,,London,United Kingdom,,fullcontact_124,,,Aviva,fullcontact_124,Europe,24.1,3.1,143.0,53.8,Financials,449.9,London,United Kingdom,,fullcontact_124,Life & Health Insurance,,Aviva
fullcontact_796,fullcontact_796,fullcontact,,,,,,,,,Rueil-malmaison,France,1899-01-01,fullcontact_796,,,VINCI,fullcontact_796,Europe,44.2,2.6,147.0,54.1,Industrials,86.9,Rueil-malmaison,France,1899-01-01,fullcontact_796,Construction Services,,VINCI
fullcontact_613,fullcontact_613,fullcontact,,,,,,,,,San Diego,United States,1985-01-01,fullcontact_613,,"['Bob Forutan', 'Franklin P. Antonio']",QUALCOMM Incorporated,fullcontact_613,North America,135.5,6.8,154.0,24900000000.0,Information Technology,43010000000.0,San Diego,United States,1985-01-01,fullcontact_613,Semiconductors,"['Bob Forutan', 'Franklin P. Antonio']",Qualcomm
fullcontact_592,fullcontact_592,fullcontact,,,,,,,,,New York,United States,,fullcontact_592,,,Philip Morris International,fullcontact_592,North America,130.3,8.6,157.0,30.9,Consumer Staples,38.2,New York,United States,1875-01-01,fullcontact_592,Tobacco,R. J. Reynolds,Philip Morris International
fullcontact_1575,fullcontact_59,fullcontact,,,,,,,,,Columbus,United States,1955-01-01,fullcontact_59,,,Aflac,fullcontact_1575,North America,28.8,3.2,188.0,24.1,Financials,1000000000.0,Columbus,United States,1955-01-01,fullcontact_1575,Life & Health Insurance,,Aflac
fullcontact_1575,fullcontact_1575,fullcontact,,,,,,,,,Arlington,United States,1879-01-01,fullcontact_1575,,,AAFMAA,fullcontact_1575,North America,28.8,3.2,188.0,24.1,Financials,1000000000.0,Columbus,United States,1955-01-01,fullcontact_1575,Life & Health Insurance,,Aflac
fullcontact_41,fullcontact_41,fullcontact,,,,,,,,,St Paul,United States,1902-01-01,fullcontact_41,,,3M,fullcontact_41,North America,89.8,4.7,194.0,30.9,Industrials,33.6,St Paul,United States,1902-01-01,fullcontact_41,Conglomerates,,3M
fullcontact_1291,fullcontact_1291,fullcontact,,,,,,,,,Minneapolis,United States,,fullcontact_1291,,,Target,fullcontact_1291,North America,38.4,2.0,200.0,72.6,Consumer Discretionary,44.6,Minneapolis,United States,,fullcontact_1291,Discount Stores,,Target
fullcontact_884,fullcontact_884,fullcontact,,,,,,,,,Walldorf,Germany,1972-01-01,fullcontact_884,,,SAP,fullcontact_884,Europe,97.1,4.4,207.0,16810000000.0,Information Technology,27090000000.0,Walldorf,Germany,1972-01-01,fullcontact_884,Software & Programming,"['Claus Wellenreuther', 'Dietmar Hopp', 'Klaus Tschira', 'Hasso Plattner']",SAP
fullcontact_1221,fullcontact_1221,fullcontact,,,,,,,,,Tokyo,Japan,,fullcontact_1221,,Mitsuomi Koizumi,Japan Tobacco,fullcontact_1221,Asia,56.9,4.5,209.0,156000000.0,Consumer Staples,625400.0,Tokyo,Japan,1957-01-01,fullcontact_1221,Tobacco,Mitsuomi Koizumi,Japan Tobacco
fullcontact_149,fullcontact_149,fullcontact,,,,,,,,,Reading,United Kingdom,,fullcontact_149,,,BG Group,fullcontact_149,Europe,64.0,2.5,210.0,19.2,Energy,66.0,Reading,United Kingdom,,fullcontact_149,Oil & Gas Operations,,BG Group
fullcontact_249,fullcontact_249,fullcontact,,,,,,,,,Copenhagen,Denmark,,fullcontact_249,,,Danske Bank,fullcontact_249,Europe,28.3,1.3,231.0,20.8,Financials,596.0,Copenhagen,Denmark,,fullcontact_249,Major Banks,,Danske Bank
fullcontact_58,fullcontact_58,fullcontact,,,,,,,,,Hartford,United States,1853-01-01,fullcontact_58,,,Aetna,fullcontact_58,North America,27.2,1.9,232.0,47.3,Health Care,49.9,Hartford,United States,1853-01-01,fullcontact_58,Health care industry,Thomas Grogan,Aetna
fullcontact_56,fullcontact_56,fullcontact,,,,,,,,,The Hague,Netherlands,1844-01-01,fullcontact_56,,,Aegon,fullcontact_56,Europe,19.8,1.1,234.0,40.2,Financials,473.0,The Hague,Netherlands,1844-01-01,fullcontact_56,Diversified Insurance,,Aegon
fullcontact_172,fullcontact_172,fullcontact,,,,,,,,,Toronto,Canada,1899-01-01,fullcontact_172,,,Brookfield Asset Management,fullcontact_172,North America,25.2,2.1,238.0,18.7,Financials,112.7,Toronto,Canada,1899-01-01,fullcontact_172,Asset management,William Mackenzie (railway entrepreneur),Brookfield Asset Management
fullcontact_1541,fullcontact_1541,fullcontact,,,,,,,,,Chicago,United States,2000-01-01,fullcontact_1541,,,Exelon,fullcontact_1541,North America,28.7,1.7,241.0,24.6,Utilities,55100000000.0,Chicago,United States,2000-01-01,fullcontact_1541,Electric Utilities,,Exelon
fullcontact_248,fullcontact_248,fullcontact,,,,,,,,,Paris,France,1919-01-01,fullcontact_248,,,Danone,fullcontact_248,Europe,41.8,1.9,242.0,28.3,Consumer Staples,42.6,Paris,France,1919-01-01,fullcontact_248,Food Processing,,Danone
fullcontact_278,fullcontact_278,fullcontact,,,,,,,,,San Jose,United States,1995-01-01,fullcontact_278,,,eBay,fullcontact_278,North America,71.0,2.9,250.0,16.0,Consumer Discretionary,41.5,San Jose,United States,1995-01-01,fullcontact_278,Internet & Catalog Retail,,eBay
fullcontact_528,fullcontact_528,fullcontact,,,,,,,,,Paris,France,,fullcontact_528,,,Natixis,fullcontact_528,Europe,23.6,1.2,251.0,21.6,Financials,702.9,Paris,France,,fullcontact_528,Major Banks,,Natixis
fullcontact_502,fullcontact_502,fullcontact,,,,,,,,,Minneapolis,United States,1949-01-01,fullcontact_502,,,Medtronic,fullcontact_502,North America,61.7,3.6,255.0,16.9,Health Care,37.2,Minneapolis,United States,1949-01-01,fullcontact_502,Medical Equipment & Supplies,,Medtronic
fullcontact_17,fullcontact_17,fullcontact,,,,,,,,,Boulogne Billancourt Cedex,France,1932-01-01,fullcontact_17,,"['Fernand Renault', 'Louis Renault', 'Marcel Renault']",Renault,fullcontact_17,Europe,28.7,0.8,262.0,54.3,Consumer Discretionary,103.3,Boulogne Billancourt Cedex,France,1932-01-01,fullcontact_17,Auto & Truck Manufacturers,"['Fernand Renault', 'Louis Renault', 'Marcel Renault']",Renault
fullcontact_221,fullcontact_221,fullcontact,,,,,,,,,Paris,France,,fullcontact_221,,,CNP Assurances,fullcontact_221,Europe,14.6,1.3,265.0,36.2,Financials,455.1,Paris,France,,fullcontact_221,Diversified Insurance,,CNP Assurances
fullcontact_638,fullcontact_638,fullcontact,,,,,,,,,Courbevoie,France,1665-01-01,fullcontact_638,,,SAINT-GOBAIN,fullcontact_638,Europe,34.5,0.8,277.0,55.5,Materials,63.0,Courbevoie,France,,fullcontact_638,Construction Materials,,Saint-Gobain
fullcontact_1462,fullcontact_1462,fullcontact,,,,,,,,,Salt Lake City,United States,1975-01-01,fullcontact_1462,,,Intermountain Healthcare,fullcontact_1462,North America,22.5,1.5,286.0,32.4,Health Care,55.5,Salt Lake City,United States,1975-01-01,fullcontact_1462,Managed Health Care,,Intermountain Healthcare
fullcontact_204,fullcontact_204,fullcontact,,,,,,,,,Windsor,United Kingdom,,fullcontact_204,,,Centrica,fullcontact_204,Europe,27.7,1.5,291.0,41.5,Utilities,38.8,Windsor,United Kingdom,,fullcontact_204,Natural Gas Utilities,,Centrica
fullcontact_710,fullcontact_710,fullcontact,,,,,,,,,,Sweden,,fullcontact_710,,,Swedbank,fullcontact_710,Europe,29.8,2.0,296.0,10.7,Financials,283.5,,Sweden,,fullcontact_710,Major Banks,,Swedbank
fullcontact_263,fullcontact_263,fullcontact,,,,,,,,,El Segundo,United States,1990-01-01,fullcontact_263,,,DIRECTV,fullcontact_263,North America,39.6,2.9,300.0,31.8,Consumer Discretionary,21.9,El Segundo,United States,1990-01-01,fullcontact_263,Broadcasting & Cable,,Directv
fullcontact_330,fullcontact_330,fullcontact,,,,,,,,,Bad Homburg,Germany,1912-01-01,fullcontact_330,,,Fresenius Helios Gmbh,fullcontact_330,Europe,27.8,1.3,303.0,19290000000.0,Health Care,30664000000.0,Bad Homburg,Germany,1912-01-01,fullcontact_330,Medical Equipment & Supplies,,Fresenius
fullcontact_374,fullcontact_374,fullcontact,,,,,,,,,Düsseldorf,Germany,1876-01-01,fullcontact_374,,,Henkel,fullcontact_374,Europe,46.4,2.1,312.0,21.7,Consumer Staples,26.7,Düsseldorf,Germany,1876-01-01,fullcontact_374,Household/Personal Care,,Henkel
fullcontact_495,fullcontact_495,fullcontact,,,,,,,,,Kuala Lumpur,Malaysia,,fullcontact_495,,,Maybank,fullcontact_495,Asia,26.3,2.1,326.0,9.7,Financials,171.1,Kuala Lumpur,Malaysia,,fullcontact_495,Regional Banks,,Maybank
fullcontact_384,fullcontact_384,fullcontact,,,,,,,,,Jona,Switzerland,1963-01-01,fullcontact_384,,,Holcim,fullcontact_384,Europe,27.3,1.4,328.0,21.3,Materials,42.7,Jona,Switzerland,1963-01-01,fullcontact_384,Construction Materials,,Holcim
fullcontact_296,fullcontact_296,fullcontact,,,,,,,,,Seminole,United States,,fullcontact_296,,,EOG Resources,fullcontact_296,North America,54.1,2.2,331.0,14.5,Energy,30.6,Seminole,United States,,fullcontact_296,Oil & Gas Operations,,EOG Resources
fullcontact_696,fullcontact_696,fullcontact,,,,,,,,,Edinburgh,United Kingdom,1825-01-01,fullcontact_696,,,Standard Life,fullcontact_696,Europe,15.2,0.7,343.0,32.2,Financials,295.5,Edinburgh,United Kingdom,1825-01-01,fullcontact_696,Life & Health Insurance,,Standard Life
fullcontact_643,fullcontact_643,fullcontact,,,,,,,,,Las Vegas,United States,,fullcontact_643,,,Las Vegas Sands,fullcontact_643,North America,67.2,2.3,357.0,13.8,Consumer Discretionary,22.7,Las Vegas,United States,,fullcontact_643,Casinos & Gaming,,Las Vegas Sands
fullcontact_1437,fullcontact_1437,fullcontact,,,,,,,,,New York,United States,,fullcontact_1437,,,CBS Radio,fullcontact_1437,North America,37.5,1.9,368.0,15.3,Consumer Discretionary,26.4,New York,United States,2005-01-01,fullcontact_1437,Broadcasting & Cable,,CBS Radio
fullcontact_754,fullcontact_754,fullcontact,,,,,,,,,Calgary,Canada,1951-01-01,fullcontact_754,,,TransCanada Corporation,fullcontact_754,North America,35.4,1.7,390.0,8.5,Energy,53.3,Calgary,Canada,1951-01-01,fullcontact_754,Oil Services & Equipment,,TransCanada Corporation
fullcontact_29,fullcontact_29,fullcontact,,,,,,,,,,France,,fullcontact_29,,,Pernod Ricard,fullcontact_29,Europe,30.6,1.6,398.0,10.9,Consumer Staples,38.3,,France,,fullcontact_29,Beverages,,Pernod Ricard
fullcontact_402,fullcontact_402,fullcontact,,,,,,,,,Louisville,United States,1961-01-01,fullcontact_402,,,Humana,fullcontact_402,North America,17.5,1.2,418.0,41.3,Health Care,21.3,Louisville,United States,1961-01-01,fullcontact_402,Managed Health Care,,Humana
fullcontact_714,fullcontact_714,fullcontact,,,,,,,,,Basel,Switzerland,2000-01-01,fullcontact_714,,,Syngenta,fullcontact_714,Europe,34.6,1.7,419.0,14.7,Materials,20.2,Basel,Switzerland,2000-01-01,fullcontact_714,Specialized Chemicals,,Syngenta
fullcontact_1322,fullcontact_1322,fullcontact,,,,,,,,,Newark,United States,1875-01-01,fullcontact_1322,,,Prudential - Bring your Challenges,fullcontact_1322,North America,39.7,-0.7,433.0,41461000000.0,Financials,731781000000.0,Newark,United States,1875-01-01,fullcontact_1322,Life & Health Insurance,John F. Dryden,Prudential Financial
fullcontact_373,fullcontact_373,fullcontact,,,,,,,,,,Germany,1873-01-01,fullcontact_373,,,HeidelbergCement,fullcontact_373,Europe,16.5,1.0,434.0,18.5,Materials,37.0,,Germany,1873-01-01,fullcontact_373,Construction Materials,,HeidelbergCement
fullcontact_7,fullcontact_7,fullcontact,,,,,,,,,Pittsburgh,United States,1883-01-01,fullcontact_7,,John Pitcairn,PPG Industries,fullcontact_7,North America,27.3,3.2,440.0,15200000000.0,Materials,14240000000.0,Pittsburgh,United States,1883-01-01,fullcontact_7,Diversified Chemicals,John Baptiste Ford,PPG Industries
fullcontact_783,fullcontact_783,fullcontact,,,,,,,,,Rio de Janeiro,Brazil,,fullcontact_783,,,Vale,fullcontact_783,South America,71.4,0.1,442.0,44100000000.0,Materials,123.7,Rio de Janeiro,Brazil,1942-01-01,fullcontact_783,Iron & Steel,,Vale
fullcontact_1711,fullcontact_1711,fullcontact,,,,,,,,,Kuala Lumpur,Malaysia,1990-01-01,fullcontact_1711,,,Tenaga Nasional Berhad,fullcontact_1711,Asia,20.7,1.6,443.0,37130000000.0,Utilities,31.3,Kuala Lumpur,Malaysia,1990-01-01,fullcontact_1711,Electric Utilities,,Tenaga Nasional
fullcontact_570,fullcontact_570,fullcontact,,,,,,,,,Bellevue,United States,1905-01-01,fullcontact_570,,,PACCAR,fullcontact_570,North America,24.0,1.2,454.0,17.1,Industrials,43267000000.0,Bellevue,United States,1905-01-01,fullcontact_570,Heavy Equipment,John Deere (inventor),Paccar
fullcontact_833,fullcontact_833,fullcontact,,,,,,,,,Norwalk,United States,1906-01-01,fullcontact_833,,,Xerox,fullcontact_833,North America,13.6,1.2,456.0,21.6,Industrials,29.0,Norwalk,United States,1906-01-01,fullcontact_833,Business Products & Supplies,,Xerox
fullcontact_601,fullcontact_601,fullcontact,,,,,,,,,Des Moines,United States,1879-01-01,fullcontact_601,,,Principal Financial Group,fullcontact_601,North America,13.9,0.9,465.0,9.5,Financials,208.2,Des Moines,United States,1879-01-01,fullcontact_601,Life & Health Insurance,,Principal Financial Group
fullcontact_511,fullcontact_511,fullcontact,,,,,,,,,Salt Lake City,United States,,fullcontact_511,,,Micron Technology,fullcontact_511,North America,25.9,1.8,488.0,9070000000.0,Information Technology,19118000000.0,Salt Lake City,United States,1978-01-01,fullcontact_511,Semiconductors,,Micron Technology
fullcontact_81,fullcontact_81,fullcontact,,,,,,,,,Saint-Ouen,France,1928-01-01,fullcontact_81,,,Alstom,fullcontact_81,Europe,9.1,1.0,493.0,26.6,Industrials,41.2,Saint-Ouen,France,1928-01-01,fullcontact_81,Conglomerates,,Alstom
fullcontact_491,fullcontact_491,fullcontact,,,,,,,,,Purchase,United States,1966-01-01,fullcontact_491,,,MasterCard,fullcontact_491,North America,88.8,3.1,506.0,8.3,Financials,27116000000.0,Purchase,United States,1966-01-01,fullcontact_491,Consumer Financial Services,,MasterCard
fullcontact_309,fullcontact_309,fullcontact,,,,,,,,,Menlo Park,United States,2004-01-01,fullcontact_309,,"['HessKiyaafa BirikiSindaa', 'Mark Zuckerberg']",Facebook,fullcontact_309,North America,159.7,1.5,510.0,7.9,Information Technology,17.9,Menlo Park,United States,2004-01-01,fullcontact_309,Computer Services,"['HessKiyaafa BirikiSindaa', 'Mark Zuckerberg']",Facebook
fullcontact_327,fullcontact_327,fullcontact,,,,,,,,,Espoo,Finland,1998-01-01,fullcontact_327,,,Fortum,fullcontact_327,Europe,20.3,1.6,513.0,6056000000.0,Utilities,24420000000.0,Espoo,Finland,1998-01-01,fullcontact_327,Electric Utilities,,Fortum
fullcontact_116,fullcontact_116,fullcontact,,,,,,,,,Stockholm,Sweden,1873-01-01,fullcontact_116,,,Atlas Copco,fullcontact_116,Europe,35.4,1.9,514.0,12.9,Industrials,13.7,Stockholm,Sweden,1873-01-01,fullcontact_116,Other Industrial Equipment,,Atlas Copco
fullcontact_731,fullcontact_731,fullcontact,,,,,,,,,Vancouver,Canada,,fullcontact_731,,,TELUS,fullcontact_731,North America,22.3,1.3,542.0,11.0,Telecommunication Services,20.3,Vancouver,Canada,2006-01-01,fullcontact_731,Telecommunications services,,TELUS
fullcontact_97,fullcontact_97,fullcontact,,,,,,,,,London,United Kingdom,1917-01-01,fullcontact_97,,,Anglo American,fullcontact_97,Europe,35.3,-0.9,551.0,29342000000.0,Materials,71.2,London,United Kingdom,1917-01-01,fullcontact_97,Diversified Metals & Mining,,Anglo American
fullcontact_5,fullcontact_5,fullcontact,,,,,,,,,Essen,Germany,2007-01-01,fullcontact_5,,,Evonik,fullcontact_5,Europe,18.3,0.7,552.0,17.1,,21.9,Essen,Germany,2007-01-01,fullcontact_5,,,Evonik
fullcontact_364,fullcontact_364,fullcontact,,,,,,,,,,Colombia,,fullcontact_364,,,Grupo Aval,fullcontact_364,South America,13.3,0.8,553.0,9.0,Financials,72.0,,Colombia,,fullcontact_364,Investment Services,,Grupo Aval
fullcontact_449,fullcontact_449,fullcontact,,,,,,,,,Bangkok,Thailand,,fullcontact_449,,,Kasikorn Bank,fullcontact_449,Asia,13.3,1.3,555.0,203.84,Financials,69.7,Bangkok,Thailand,1945-01-01,fullcontact_449,Financial services,Choti Lamsam,Kasikornbank
fullcontact_131,fullcontact_131,fullcontact,,,,,,,,,Madrid,Spain,2010-01-01,fullcontact_131,,,Bankia,fullcontact_131,Europe,24.3,0.7,582.0,5.1,Financials,346.5,Madrid,Spain,2010-01-01,fullcontact_131,Regional Banks,,Bankia
fullcontact_80,fullcontact_80,fullcontact,,,,,,,,,ATHENS,Greece,1879-01-01,fullcontact_80,,,Alpha Bank,fullcontact_80,Europe,10.5,3.0,586.0,2249000000.0,Financials,66800000000.0,ATHENS,Greece,1879-01-01,fullcontact_80,Financial services,,Alpha Bank
