label,pair,score,bucket,rule,geo_m,sim_name,sim_cat,id_a,id_b,kaggle380k_id_a,yelp_id_b,source_a,source_b,name_a,name_b,name_norm_a,name_norm_b,address_line1_a,address_line1_b,street_a,street_b,house_number_a,house_number_b,city_a,city_b,state_a,state_b,postal_code_a,postal_code_b,latitude_a,latitude_b,longitude_a,longitude_b,categories_a,categories_b,phone_e164_a,phone_e164_b,phone_raw_a,phone_raw_b
,df1_vs_df3,0.5568341019497594,high,geo,32.2,0.42424242424242425,0.0,kaggle380k-202811,yelp-10590,,,kaggle_380k,yelp,Teriyaki Madness,The India Kitchen,teriyaki madness,the india kitchen,,,N Pima Rd,N Pima Rd,14884,14884,Scottsdale,Scottsdale,AZ,AZ,85260,85260,33.6201012,33.61981819948896,-111.8922949,-111.8922234,"['Asian fusion restaurant' 'Asian restaurant' 'Caterer'
 'Gluten-free restaurant' 'Japanese restaurant']",['nan'],,,,
,df1_vs_df3,0.7800835226152166,high,name_zip,49.8,1.0,0.0,kaggle380k-098006,yelp-67307,,,kaggle_380k,yelp,RED,RED,red,red,,,W Washington Ave,W Washington Ave,316,316,Madison,Madison,WI,WI,53703,53703,43.0724227,43.07284,-89.3878877,-89.38811,"['Sushi restaurant' 'American restaurant' 'Cocktail bar'
 'Japanese restaurant']",['japanese'],,,,
,df1_vs_df3,0.5594567130736858,high,geo,1.4,0.4,0.0,kaggle380k-350065,yelp-30627,,,kaggle_380k,yelp,Rangoon,Long Kin,rangoon,long kin,,,Prospect Pl,Prospect Pl,500,500,Brooklyn,Brooklyn,NY,NY,11238,11238,40.6756574,40.6756696147249,-73.9600392,-73.9600392,['Burmese restaurant'],['thai'],,,,
,df1_vs_df3,0.4666666666666667,high,geo,0.0,0.16666666666666666,0.0,kaggle380k-339495,yelp-96447,,,kaggle_380k,yelp,S&B Hmong Kitchen,Poké Mì,s b hmong kitchen,poke mì,,,Zeier Rd,Zeier Rd,2161,2161,Madison,Madison,WI,WI,53704,53704,43.1278046,43.1278046,-89.3008594,-89.3008594,['Restaurant'],['sandwiches'],,,,
,df1_vs_df3,0.46730122335270524,high,geo,22.2,0.19047619047619047,0.0,kaggle380k-156360,yelp-88061,,,kaggle_380k,yelp,Sarku Japan,Korill Hut,sarku japan,korill hut,,,East Towne Way,E Towne Way,237,232,Madison,Madison,WI,WI,53704,53704,43.1255834,43.12578313440883,-89.3061805,-89.30617090443928,"['Japanese restaurant' 'Asian restaurant' 'Fast food restaurant'
 'Restaurant' 'Sushi restaurant' 'Teppanyaki restaurant']",['bbq'],,,,
,df1_vs_df3,0.4,high,phone,61664.2,1.0,0.0,kaggle380k-146214,yelp-87141,,,kaggle_380k,yelp,In-N-Out Burger,In-N-Out Burger,in n out burger,in n out burger,,,E 800 N,Jordan Landing Blvd,795,7785,Spanish Fork,West Jordan,UT,UT,84660,84084,40.1211266,40.609784,-111.6417498,-111.985882,"['Hamburger restaurant' 'American restaurant' 'Diner'
 'Fast food restaurant' 'Lunch restaurant' 'Restaurant']",['burgers'],+18007861000,+18007861000,,
,df1_vs_df3,0.4183639909309048,high,geo,31.0,0.07692307692307693,0.0,kaggle380k-140800,yelp-87260,,,kaggle_380k,yelp,Coyote Grille,Fairfax Kabob,coyote grille,fairfax kabob,,,Main St,Main St,10266,10250,Fairfax,Fairfax,VA,VA,22030,22030,38.8453841,38.84511,-77.3006038,-77.30067,"['Southwestern restaurant (US)' 'Bar & grill' 'Caterer'
 'Tex-Mex restaurant']",['mediterranean'],,,,
,df1_vs_df3,0.4,high,name_zip,3050.3,1.0,0.0,kaggle380k-156472,yelp-45522,,,kaggle_380k,yelp,International Market,International Market,international market,international market,,,Belmont Blvd,Belmont Blvd,2013,2013,Nashville,Nashville,TN,TN,37212,37212,36.1317608,36.158763885498,-86.7956859,-86.7897033691406,['Southeast Asian restaurant' 'Restaurant' 'Thai restaurant'],['thai'],,,,
,df1_vs_df3,0.4967505845597423,high,geo,8.1,0.25,0.0,kaggle380k-098623,yelp-15532,,,kaggle_380k,yelp,Toros Mediterranean Turkish Cuisine,Toros,toros mediterranean turkish cuisine,toros,,,Valley Rd,Valley Rd,592,594,Montclair,Montclair,NJ,NJ,07043,07043,40.8406032,40.84067540737414,-74.2080986,-74.2080839184099,['Turkish restaurant' 'Mediterranean restaurant'],['mediterranean'],,,,
,df1_vs_df3,0.7781864431867561,high,geo,6.9,0.9523809523809523,0.0,kaggle380k-035587,yelp-43330,,,kaggle_380k,yelp,Oahu Grill,O'ahu Grill,oahu grill,o ahu grill,,,11th Ave,11th Ave,1137,1137,Honolulu,Honolulu,HI,HI,96816,96816,21.2825819,21.28252,-157.8001364,-157.80013,['Hawaiian restaurant' 'Catering food and drink supplier' 'Caterer'],['nan'],,,,
,df1_vs_df3,0.45233849045487173,high,geo,2.5,0.13333333333333333,0.0,kaggle380k-133035,yelp-84863,,,kaggle_380k,yelp,King Noodle And Bar,Machi Sushi,king noodle and bar,machi sushi,,,E Central Texas Expy,E Central Texas Expy,910,910,Killeen,Killeen,TX,TX,76541,76541,31.0939466,31.093966,-97.733722,-97.733735,"['Chinese noodle restaurant' 'Asian restaurant'
 'Dan Dan noodle restaurant' 'Dim sum restaurant' 'Dumpling restaurant'
 'Takeout restaurant' 'Ramen restaurant']",['japanese'],,,,
,df1_vs_df3,0.4866138189839794,high,geo,33.5,0.25,0.0,kaggle380k-024274,yelp-14866,,,kaggle_380k,yelp,Harley's A Hot Dog Revolution,Vinameals - Littleton,harley s a hot dog revolution,vinameals littleton,,,W Littleton Blvd,W Littleton Blvd,1500,1500,Littleton,Littleton,CO,CO,80120,80120,39.6117492,39.61197223634253,-105.0060789,-105.0063412,['Hot dog restaurant'],['nan'],,,,
,df1_vs_df3,0.7992242684736207,high,geo,1.9,1.0,0.0,kaggle380k-144016,yelp-92887,,,kaggle_380k,yelp,Taco Amigo,Taco Amigo,taco amigo,taco amigo,,,N State St,N State St,1395,1395,Orem,Orem,UT,UT,84057,84057,40.3226771,40.32266,-111.7066645,-111.70666,"['Mexican restaurant' 'Fast food restaurant' 'Hamburger restaurant'
 'Ice cream shop']",['mexican'],,,,
,df1_vs_df3,0.7762162760820279,high,geo,59.5,1.0,0.0,kaggle380k-300202,yelp-39766,,,kaggle_380k,yelp,STL Steak and Cake,STL Steak and Cake,stl steak and cake,stl steak and cake,,,Connecticut St,MorganFord Rd,4278,3172,St. Louis,St. Louis,MO,MO,63116,63116,38.6015173,38.60203420088729,-90.2612044,-90.2613796116455,['Restaurant'],['nan'],,,,
,df1_vs_df3,0.5025925231770489,high,geo,43.5,0.3,0.0,kaggle380k-332647,yelp-75938,,,kaggle_380k,yelp,Starwood Cafe - Rayzor Ranch,Cowboy Chicken,starwood cafe rayzor ranch,cowboy chicken,,,W University Dr,W University Dr,2530,2520,Denton,Denton,TX,TX,76201,76201,33.2304264,33.23027,-97.1663289,-97.1659,['Brunch restaurant'],['nan'],,,,
,df1_vs_df3,0.4,high,phone,2244144.3,1.0,0.0,kaggle380k-324472,yelp-76675,,,kaggle_380k,yelp,Pollo Campero,Pollo Campero,pollo campero,pollo campero,,,Fulton Ave,N Cockrell Hill Rd,50,1703,Hempstead,Dallas,NY,TX,11550,75211,40.70561,32.76801,-73.634674,-96.89658408840394,['Chicken restaurant' 'Fried chicken takeaway' 'Restaurant'],['nan'],+18332267376,+18332267376,,
,df1_vs_df3,0.7945834270573227,high,geo,13.5,1.0,0.0,kaggle380k-287682,yelp-29912,,,kaggle_380k,yelp,American Brass,American Brass,american brass,american brass,,,50th Ave,50th Ave,2-01,2-01,Queens,Long Island City,NY,NY,11101,11109,40.7440839,40.7439708,-73.9584334,-73.95849299999999,['American restaurant' 'Seafood restaurant' 'Steak house'],['seafood'],,,,
,df1_vs_df3,0.4613115500166575,high,geo,18.1,0.17142857142857143,0.0,kaggle380k-087337,yelp-14416,,,kaggle_380k,yelp,Wild Ginger Bellevue,Cantina Monarca,wild ginger bellevue,cantina monarca,,,Bellevue Way NE,Bellevue Way NE,508,504,Bellevue,Bellevue,WA,WA,98004,98004,47.6149694,47.614806288476345,-122.2012787,-122.20126971602438,['Southeast Asian restaurant' 'Asian restaurant' 'Chinese restaurant'],['mexican'],,,,
,df1_vs_df3,0.7974807813881409,high,geo,6.3,1.0,0.0,kaggle380k-209929,yelp-85407,,,kaggle_380k,yelp,Panda Express,Panda Express,panda express,panda express,,,W Nob Hill Blvd,W Nob Hill Blvd,6560,6560,Yakima,Yakima,,WA,,98908,46.5853703,46.5853461,-120.5976221,-120.59769661103188,['nan'],['chinese'],,,,
,df1_vs_df3,0.7995140520117745,high,geo,1.2,1.0,0.0,kaggle380k-306706,yelp-85193,,,kaggle_380k,yelp,Mama Qin,Mama Qin,mama qin,mama qin,,,W Morton St,W Morton St,1525,1525,Denison,Denison,,TX,,75020,33.7604966,33.760495,-96.557718,-96.557731,['nan'],['chinese'],,,,
,df1_vs_df3,0.7921302199348959,high,geo,19.7,1.0,0.0,kaggle380k-075052,yelp-31120,,,kaggle_380k,yelp,Cafe Escadrille,Cafe Escadrille,cafe escadrille,cafe escadrille,,,Cambridge St,Cambridge St,26,26,Burlington,Burlington,MA,MA,01803,01803,42.4823356,42.4825,-71.1870913,-71.18718,['Restaurant' 'Bar' 'Event venue' 'Wedding venue'],['nan'],,,,
,df1_vs_df3,0.4,high,city_name,3926.0,1.0,0.0,kaggle380k-163218,yelp-45062,,,kaggle_380k,yelp,P.F.Chang's,P.F. Chang's,p f chang s,p f chang s,,,George J Bean Pkwy,Westshore Plz,4100,219,Tampa,Tampa,FL,FL,33607,33609,27.979866,27.945,-82.5339321,-82.52763,['Asian restaurant'],['chinese'],,,,
,df1_vs_df3,0.4101974548392441,high,geo,39.0,0.06451612903225806,0.0,kaggle380k-072669,yelp-33982,,,kaggle_380k,yelp,A & J Family Restaurant,Lord Pizza,a j family restaurant,lord pizza,,,Kelley Blvd,Kelley Blvd,560,554,North Attleborough,North Attleborough,MA,MA,02760,02760,42.0067602,42.0066214154237,-71.3020669,-71.3016331183791,"['Family restaurant' 'American restaurant' 'Breakfast restaurant' 'Deli'
 'Restaurant']",['pizza' 'sandwiches'],,,,
,df1_vs_df3,0.7861831898120977,high,name_zip,34.5,1.0,0.0,kaggle380k-298639,yelp-83843,,,kaggle_380k,yelp,Capital Pizza,Capital Pizza,capital pizza,capital pizza,,,26th St,26th St,2705,2705,Lubbock,Lubbock,TX,TX,79410,79410,33.5702429,33.5705519,-101.8757617,-101.8758,['Pizza restaurant' 'Bar' 'Restaurant'],['pizza' 'sandwiches'],,,,
,df1_vs_df3,0.7044201008688677,high,geo,10.9,0.7719298245614035,0.0,kaggle380k-166043,yelp-90145,,,kaggle_380k,yelp,Lil Rita's Grill House (Thai Cuisine),Lil Rita's Grill House,lil rita s grill house thai cuisine,lil rita s grill house,,,E Tyler Ave,E Tyler Ave,410,410,Harlingen,Harlingen,,TX,,78550,26.1893619,26.1892642974854,-97.6918869,-97.6918792724609,['nan'],['thai'],,,,
,df1_vs_df3,0.4,high,phone,791186.7,1.0,0.0,kaggle380k-291500,yelp-91864,,,kaggle_380k,yelp,Pardon My Cheesesteak,Pardon My Cheesesteak,pardon my cheesesteak,pardon my cheesesteak,,,Miller Ln,General Booth Blvd,6930,1540,Dayton,Virginia Beach,OH,VA,45414,23454,39.8475457,36.787617,-84.1906134,-75.99770802944894,['Restaurant' 'Meal delivery'],['nan'],+18884440934,+18884440934,,
,df1_vs_df3,0.5502723623360641,high,geo,1.7,0.37735849056603776,0.0,kaggle380k-066043,yelp-74612,,,kaggle_380k,yelp,GrillMarx Steakhouse & Raw Bar,Iron Rooster - College Park,grillmarx steakhouse raw bar,iron rooster college park,,,Baltimore Ave,Baltimore Ave,7777,7777,College Park,College Park,MD,MD,20742,20742,38.9870823,38.98709738686106,-76.9349577,-76.9349577,['Restaurant' 'Steak house'],['breakfast'],,,,
,df1_vs_df3,0.7944882764925276,high,geo,13.8,1.0,0.0,kaggle380k-067769,yelp-94534,,,kaggle_380k,yelp,New York Eats,New York Eats,new york eats,new york eats,,,"B, Doug Russell Rd",Doug Russell Rd,604,604,Arlington,Arlington,TX,TX,76010,76010,32.724882,32.7248818,-97.1132734,-97.1134207,"['Gyro restaurant' 'American restaurant' 'Chicken restaurant'
 'Halal restaurant' 'Hamburger restaurant' 'Mediterranean restaurant'
 'Restaurant']",['mediterranean'],,,,
,df1_vs_df3,0.4,high,name_zip,6915.6,1.0,0.0,kaggle380k-274200,yelp-78958,,,kaggle_380k,yelp,Subway,Subway,subway,subway,,,64th St NE,116th St NE,8713,3943,Marysville,Marysville,WA,WA,98270,98270,48.0555916,48.10028,-122.1124897,-122.17723,"['Sandwich shop' 'Caterer' 'Fast food restaurant' 'Takeout restaurant'
 'Restaurant']",['sandwiches'],,,,
,df1_vs_df3,0.7997435579823904,high,geo,0.6,1.0,0.0,kaggle380k-143800,yelp-86644,,,kaggle_380k,yelp,Cupbop - Korean BBQ in a Cup,Cupbop - Korean BBQ in a Cup,cupbop korean bbq in a cup,cupbop korean bbq in a cup,,,12th St,12th St,141,141,Ogden,Ogden,UT,UT,84404,84404,41.2438778,41.243879,-111.9772375,-111.97723,"['Korean restaurant' 'Asian restaurant' 'Barbecue restaurant'
 'Fast food restaurant']",['bbq'],,,,
,df1_vs_df3,0.47774209439468585,high,geo,18.4,0.2127659574468085,0.0,kaggle380k-048099,yelp-18683,,,kaggle_380k,yelp,Pad Thai Restaurant,Hometown Rice Roll & Dumplings,pad thai restaurant,hometown rice roll dumplings,,,Hancock St,Hancock St,671,669,Quincy,Quincy,MA,MA,02170,02170,42.267504,42.26766786579126,-71.01613,-71.01616203193859,['Thai restaurant' 'Asian restaurant'],['nan'],,,,
,df1_vs_df3,0.7997743756230793,high,geo,0.6,1.0,0.0,kaggle380k-139602,yelp-47371,,,kaggle_380k,yelp,Arctic Circle,Arctic Circle,arctic circle,arctic circle,,,N Main St,N Main St,1493,1493,Bountiful,Bountiful,UT,UT,84010,84010,40.9049903,40.90499,-111.8793767,-111.87937,['Fast food restaurant' 'Hamburger restaurant' 'Ice cream shop'],['burgers'],,,,
,df1_vs_df3,0.7928987869053723,high,name_zip,17.8,1.0,0.0,kaggle380k-348545,yelp-09199,,,kaggle_380k,yelp,Angelina's Kitchen,Angelina's Kitchen,angelina s kitchen,angelina s kitchen,,,Marsh Ave,Marsh Ave,280,280,Staten Island,Staten Island,NY,NY,10314,10314,40.5784854,40.5785895920316,-74.1640435,-74.1642027755279,['Pizza restaurant' 'Italian restaurant' 'Restaurant'],['italian'],,,,
,df1_vs_df3,0.6568020742093137,high,geo,3.2,0.6451612903225806,0.0,kaggle380k-066899,yelp-86428,,,kaggle_380k,yelp,Charm Thai Restaurant,Charm Thai,charm thai restaurant,charm thai,,,Georgia Ave,Georgia Ave,8408,8408,Silver Spring,Silver Spring,MD,MD,20910,20910,38.9936767,38.99369752609418,-77.026898,-77.02692281245281,['Thai restaurant' 'Restaurant'],['thai'],,,,
,df1_vs_df3,0.6937546801451782,high,geo,7.5,0.7419354838709677,0.0,kaggle380k-174857,yelp-40716,,,kaggle_380k,yelp,"No. 1 Chinese Restaurant in Shorewood, WI",No 1 Chinese Restaurant,no 1 chinese restaurant in shorewood wi,no 1 chinese restaurant,,,N Oakland Ave,N Oakland Ave,4501,4501,Shorewood,Shorewood,,WI,,53211,43.0984002,43.09841,-87.887568,-87.88766,['nan'],['chinese'],,,,
