id,source,name,name_norm,address_line1,address_line2,street,house_number,city,state,postal_code,country,latitude,longitude,categories,rating,rating_count
uber_eats-00034,uber_eats,Starbucks (Hwy 11 and Avenue W),starbucks hwy 11 and avenue w,2401 Crossplex Boulevard,101,Crossplex Boulevard,2401,Birmingham,AL,35208,US,33.4979443,-86.8743905,"['Bakery', 'Breakfast and Brunch', 'Cafe', 'Coffee &amp', 'Tea']",4.6,21.0
uber_eats-00035,uber_eats,"Moe's Southwest Grill (655 Fieldstown Road, Suite #158)",moe s southwest grill 655 fieldstown road suite 158,655 Fieldstown Road,,Fieldstown Road,655,Gardendale,AL,35071,US,33.6497578,-86.8239419,"['Mexican', 'Fast Food', 'Salads', 'Healthy']",4.8,24.0
uber_eats-00036,uber_eats,La Tia Paisa Taco Shop,la tia paisa taco shop,406 W Valley Ave,,W Valley Ave,406,Homewood,AL,35209,US,33.47075,-86.82614,"['Mexican', 'Breakfast and Brunch', 'Burritos']",4.3,24.0
uber_eats-00037,uber_eats,CHOP N FRESH,chop n fresh,291 Rele Street,,Rele Street,291,Mountain Brook,AL,35223,US,33.48604,-86.77366,"['Salads', 'Vegetarian', 'Bowls']",4.8,39.0
uber_eats-00038,uber_eats,Underground Vegan,underground vegan,2012 Magnolia Avenue,South R3,Magnolia Avenue,2012,Birmingham,AL,35205,US,33.5009,-86.79627,"['Vegan', 'Healthy', 'Vegetarian']",4.8,62.0
uber_eats-00039,uber_eats,Cicis (808 Greensprings Highway Suite 132),cicis 808 greensprings highway suite 132,808 Green Springs Highway,,Green Springs Highway,808,Homewood,AL,35209,US,33.460857,-86.819214,['pizza'],4.4,21.0
uber_eats-00040,uber_eats,McAlister's Deli (1801 4th Avenue South),mcalister s deli 1801 4th avenue south,1801 4th Ave S,,4th Ave S,1801,Birmingham,AL,35233,US,33.50715,-86.80399,"['Sandwich', 'Salads', 'Healthy', 'Family Meals']",4.7,100.0
uber_eats-00041,uber_eats,"Firehouse Subs (3477 Lowery Parkway, Suite 115)",firehouse subs 3477 lowery parkway suite 115,3477 Lowery Parkway,Suite 115,Lowery Parkway,3477,Fultondale,AL,35068,US,33.6052125,-86.8056205,"['Sandwich', 'Deli']",4.7,23.0
uber_eats-00042,uber_eats,Taco Bell (2300 Bessemer Rd.),taco bell 2300 bessemer rd,2300 Bessemer Rd.,,Bessemer Rd.,2300,Birmingham,AL,35208,US,33.4979239,-86.8757924,"['Burritos', 'Fast Food', 'Mexican']",4.1,91.0
uber_eats-00043,uber_eats,Dreamcakes Bakery,dreamcakes bakery,960 Oxmoor Rd,,Oxmoor Rd,960,Birmingham,AL,35209,US,33.473785,-86.808536,"['Bakery', 'Desserts', 'Exclusive to Eats']",4.9,17.0
uber_eats-00044,uber_eats,The Baisakhi Dhaba,the baisakhi dhaba,1801 4th Ave S,,4th Ave S,1801,Birmingham,AL,35233-1944,US,33.50761,-86.80482,"['Indian', 'Pasta', 'Pizza']",,
uber_eats-00045,uber_eats,Veggie Mania,veggie mania,1024 20th Street South,unit 101,20th Street South,1024,Birmingham,AL,35205,US,33.5009,-86.7969,"['Vegetarian', 'Vegan', 'Indian', 'Pakistani', 'Indian Curry']",,
uber_eats-00046,uber_eats,Silver Kati,silver kati,1821 N 2nd Ave,,N 2nd Ave,1821,Birmingham,AL,35203,US,33.5142912,-86.8078778,"['Indian', 'Vegetarian', 'Asian', 'Healthy']",,
uber_eats-00047,uber_eats,China Master Express,china master express,1801 4th Ave S,,4th Ave S,1801,Birmingham,AL,35233,US,33.50761,-86.80482,"['Chinese', 'Comfort Food']",4.6,28.0
uber_eats-00048,uber_eats,"Pasta La Vista, Baby",pasta la vista baby,1623 2nd Avenue North,,2nd Avenue North,1623,Birmingham,AL,35203,US,33.512981,-86.810616,"['Italian', 'Pasta', 'Comfort Food']",,
uber_eats-00049,uber_eats,Taziki's Mediterranean Café (2737 Highway 280 South),taziki s mediterranean cafe 2737 highway 280 south,2737 Highway 280 South,,Highway 280 South,2737,Birmingham,AL,35223,US,33.47991,-86.77426,"['Healthy', 'Sandwich', 'Soup']",,
uber_eats-00050,uber_eats,China 1,china 1,357 Walker Chapel Plz,,Walker Chapel Plz,357,Fultondale,AL,35068,US,33.61121,-86.79742,"['Chinese', 'Chicken', 'Noodles']",,
uber_eats-00051,uber_eats,Veggie Wonderland,veggie wonderland,1024 20th Street South,Unit 101,20th Street South,1024,Birmingham,AL,35205,US,33.5009,-86.7969,"['Indian', 'Vegetarian', 'Vegan', 'Indian Curry', 'Healthy']",,
uber_eats-00052,uber_eats,Chez Lulu,chez lulu,1911 Cahaba Rd,,Cahaba Rd,1911,Birmingham,AL,35223,US,33.4955577,-86.7814333,"['French', 'Pizza', 'Salads', 'Sandwich', 'Healthy', 'Desserts']",4.3,29.0
uber_eats-00053,uber_eats,Bayleaf Authentic Indian Cuisine,bayleaf authentic indian cuisine,1024 20th St S,101,20th St S,1024,Birmingham,AL,35205,US,33.5009661,-86.7968513,"['Indian', 'Vegetarian', 'Asian', 'Healthy']",4.7,56.0
uber_eats-00054,uber_eats,Sushi Village (Crestwood Blvd),sushi village crestwood blvd,7001 Crestwood Boulevard,,Crestwood Boulevard,7001,Birmingham,AL,35213,US,33.52812,-86.72866,"['Sushi', 'Asian', 'Japanese']",4.8,100.0
uber_eats-00055,uber_eats,Great Wall Chinese Restaurant,great wall chinese restaurant,706 Valley Ave,,Valley Ave,706,Birmingham,AL,35209,US,33.4764166,-86.8156829,"['Chinese', 'Seafood', 'Noodles']",4.6,100.0
uber_eats-00056,uber_eats,Yoe Xpress (28th Ave S),yoe xpress 28th ave s,1919 28th Ave S,,28th Ave S,1919,Birmingham,AL,35209,US,33.48093,-86.78783,"['Chinese', 'Asian', 'Cantonese']",4.5,35.0
uber_eats-00057,uber_eats,Yoe Express,yoe express,1919 28th Ave S,,28th Ave S,1919,Homewood,AL,35209,US,33.48093,-86.78783,"['Chinese', 'Asian', 'Asian Fusion']",,
uber_eats-00058,uber_eats,Kumo Sushi &amp; Asian,kumo sushi amp asian,835 Odum Rd,# 107,Odum Rd,835,Gardendale,AL,35071,US,33.64613,-86.82696,"['Sushi', 'Asian', 'Japanese']",,
uber_eats-00059,uber_eats,Chuck E. Cheese (500 Old Town Rd),chuck e cheese 500 old town rd,500 Old Town Rd,,Old Town Rd,500,Birmingham,AL,35216,US,33.419761,-86.798175,['Pizza'],,
uber_eats-00060,uber_eats,Magic Wok,magic wok,401 19th St S,,19th St S,401,Birmingham,AL,35233,US,33.50805,-86.80287,"['Chinese', 'Vegetarian', 'Soup']",4.6,61.0
uber_eats-00061,uber_eats,Moon Star Chinese Asian &amp; Wings,moon star chinese asian amp wings,191 W Valley Ave,,W Valley Ave,191,Homewood,AL,35209,US,33.4648283,-86.83722,"['Chinese', 'Asian']",4.3,79.0
uber_eats-00062,uber_eats,Sol Azteca,sol azteca,1360 Montgomery Hwy 128,,Montgomery Hwy 128,1360,Vestavia Hills,AL,35216,US,33.4261627,-86.7939687,"['Mexican', 'Seafood']",4.6,59.0
uber_eats-00063,uber_eats,China Garden,china garden,3102 Allison-Bonnett Memorial Dr,,Allison-Bonnett Memorial Dr,3102,Hueytown,AL,35023,US,33.4549,-86.989,"['Asian', 'Seafood', 'Noodles']",4.6,34.0
uber_eats-00064,uber_eats,Biryani Bowl,biryani bowl,22 Green Springs Highway,,Green Springs Highway,22,Homewood,AL,35209,US,33.474182,-86.826475,"['Indian', 'Vegetarian', 'Asian']",,
uber_eats-00065,uber_eats,Makarios Kabobs &amp; Grill,makarios kabobs amp grill,940 20th St South,,20th St South,940,Birmingham,AL,35205,US,33.50253,-86.79778,"['Mediterranean', 'Greek', 'Vegetarian']",4.9,37.0
uber_eats-00066,uber_eats,Egg roll express,egg roll express,100 Bessemer Super Hwy,,Bessemer Super Hwy,100,Birmingham,AL,35228,US,33.46308,-86.91145,"['Asian', 'Chicken', 'Chinese']",4.2,50.0
uber_eats-00067,uber_eats,Los Arcos Mexican Restaurant,los arcos mexican restaurant,7001 Crestwood Blvd,,Crestwood Blvd,7001,Birmingham,AL,35210,US,33.52812,-86.72866,"['Mexican', 'Salads', 'Tacos']",4.3,100.0
uber_eats-00068,uber_eats,New China Town,new china town,1020 20th St S,,20th St S,1020,Birmingham,AL,35205,US,33.5011135,-86.7969805,"['Chinese', 'Asian', 'Asian Fusion']",4.3,100.0
uber_eats-00069,uber_eats,Fuji Hibachi Express,fuji hibachi express,790 Montgomery Hwy,,Montgomery Hwy,790,Vestavia Hills,AL,35216,US,33.444622,-86.792775,"['Japanese', 'Chinese', 'Asian']",4.8,52.0
uber_eats-00070,uber_eats,Sitar,sitar,1801 4th Ave S,115,4th Ave S,1801,Birmingham,AL,35233,US,33.50724,-86.8037743,"['Indian', 'Vegetarian', 'Asian', 'Healthy']",4.3,100.0
uber_eats-00071,uber_eats,Red Sea Ethiopian and Mediterranean,red sea ethiopian and mediterranean,22 Green Springs Highway,,Green Springs Highway,22,Birmingham,AL,35209,US,33.47422,-86.82647,"['Mediterranean', 'Greek', 'Vegetarian']",4.5,31.0
uber_eats-00072,uber_eats,Rice Bowl,rice bowl,2808 7th Avenue South,,7th Avenue South,2808,Birmingham,AL,35233,US,33.51169,-86.78845,"['Asian', 'Chinese', 'Comfort Food']",4.3,19.0
uber_eats-00073,uber_eats,Karams Restaurant,karams restaurant,715 18th St N,,18th St N,715,Birmingham,AL,35203-2207,US,33.51961,-86.81257,"['Mediterranean', 'Desserts', 'Salads']",4.4,30.0
uber_eats-00074,uber_eats,The Purple Onion Deli &amp; Grill (Green Springs Hwy),the purple onion deli amp grill green springs hwy,479 Green Springs Hwy,,Green Springs Hwy,479,Birmingham,AL,35209,US,33.46236,-86.81865,"['Mediterranean', 'Greek', 'Vegetarian']",4.6,100.0
uber_eats-00075,uber_eats,Rock N Roll Sushi (UAB/Downtown),rock n roll sushi uab downtown,420 Richard Arrington Junior Boulevard South,,Richard Arrington Junior Boulevard South,420,Birmingham,AL,35233,US,33.5091,-86.80037,"['Asian Fusion', 'Seafood', 'Salads']",4.6,100.0
uber_eats-00076,uber_eats,New China (2142 Tyler Rd),new china 2142 tyler rd,2142 Tyler Rd,,Tyler Rd,2142,Birmingham,AL,35226,US,33.41647,-86.84451,"['Chinese', 'Soup', 'Seafood']",4.6,34.0
uber_eats-00077,uber_eats,The Baisakhi Dhaba,the baisakhi dhaba,1801 4th Avenue South,Ste 115,4th Avenue South,1801,Birmingham,AL,35233,US,33.50761,-86.80482,"['Indian', 'Vegetarian', 'Asian']",,
uber_eats-00078,uber_eats,The Vegan Bowl,the vegan bowl,1801 4th Avenue South,Ste 115,4th Avenue South,1801,Birmingham,AL,35233,US,33.50761,-86.80482,"['Vegetarian', 'Vegan', 'Healthy']",,
uber_eats-00079,uber_eats,Vegans Vessel,vegans vessel,1801 4th Avenue South,Ste 115,4th Avenue South,1801,Birmingham,AL,35233,US,33.50761,-86.80482,"['Indian', 'Vegetarian', 'Salads']",,
uber_eats-00080,uber_eats,Cafe Gunpowder,cafe gunpowder,1801 4th Avenue South,Ste 115,4th Avenue South,1801,Birmingham,AL,35233,US,33.50761,-86.80482,"['Indian', 'Vegetarian', 'Asian']",,
uber_eats-00081,uber_eats,Shrimp Basket (Gardendale),shrimp basket gardendale,550 Fieldstown Rd,,Fieldstown Rd,550,Gardendale,AL,35071,US,33.6527092,-86.8200246,"['Seafood', 'American', 'Southern']",,
uber_eats-00082,uber_eats,River Fish Market,river fish market,1928 Vanderbilt Rd,,Vanderbilt Rd,1928,Birmingham,AL,35234,US,33.54945,-86.7901,"['Seafood', 'American', 'Drinks']",,
uber_eats-00083,uber_eats,Fried Green Tomato's,fried green tomato s,1615 Montgomery Hwy,132,Montgomery Hwy,1615,Birmingham,AL,35216,US,33.3984,-86.80491,"['Soul Food', 'American', 'Southern']",,
uber_eats-00084,uber_eats,The Grill at Iron City,the grill at iron city,2208 6th Avenue South,,6th Avenue South,2208,Birmingham,AL,35233,US,33.5089462,-86.7977206,"['Burgers', 'American', 'Sandwiches', 'Comfort Food', 'Southern']",,
uber_eats-00085,uber_eats,SOCU Southern Kitchen + Oyster Bar Birmingham,socu southern kitchen oyster bar birmingham,1821 2nd Avenue North,,2nd Avenue North,1821,Birmingham,AL,35203,US,33.51416,-86.80798,"['Seafood', 'American', 'Southern']",,
uber_eats-00086,uber_eats,Cajun Bistro Downtown,cajun bistro downtown,1905 Park Place,,Park Place,1905,Birmingham,AL,35203,US,33.51918,-86.81036,"['Seafood', 'American', 'Southern']",4.0,30.0
uber_eats-00087,uber_eats,Bobby Carl's Table,bobby carl s table,2031 Cahaba Rd,,Cahaba Rd,2031,Mountain Brook,AL,35223,US,33.4946629,-86.7812689,"['American', 'Southern', 'Comfort Food']",,
uber_eats-00088,uber_eats,Sugar Daddys BBQ,sugar daddys bbq,1486 Minor Parkway,,Minor Parkway,1486,Birmingham,AL,35224,US,33.55141,-86.92616,"['BBQ', 'American', 'Burgers']",,
uber_eats-00089,uber_eats,Carter's Seafood,carter s seafood,512 Reverend Abraham Woods Jr Blvd,,Reverend Abraham Woods Jr Blvd,512,Birmingham,AL,35204,US,33.5139486,-86.827653,"['Seafood', 'American', 'Southern', 'Exclusive to Eats']",,
uber_eats-00090,uber_eats,McFly's Bird Shoppe,mcfly s bird shoppe,1024 20th Street South,,20th Street South,1024,Birmingham,AL,35205,US,33.5009798,-86.796851,"['Burgers', 'American', 'New American']",,
uber_eats-00091,uber_eats,D-Icon Bar and Lounge,d icon bar and lounge,4847 Richard Arrington Junior Boulevard North,,Richard Arrington Junior Boulevard North,4847,Birmingham,AL,35212,US,33.54333,-86.76253,"['Burgers', 'American', 'Sandwiches']",,
uber_eats-00092,uber_eats,Little Savannah Restaurant &amp; Bar,little savannah restaurant amp bar,3811 Clairmont Ave S,,Clairmont Ave S,3811,Birmingham,AL,35222,US,33.5146874,-86.7739077,"['Burgers', 'American', 'Sandwiches']",,
uber_eats-00093,uber_eats,Dram Whiskey Bar,dram whiskey bar,2721 Cahaba Rd,,Cahaba Rd,2721,Mountain Brook,AL,35223,US,33.4841173,-86.7734848,"['American', 'Burgers']",,
uber_eats-00094,uber_eats,Rogue Tavern (2nd Ave N),rogue tavern 2nd ave n,2312 2nd Ave N,,2nd Ave N,2312,Birmingham,AL,35203,US,33.5178692,-86.8016994,"['American', 'Exclusive to Eats']",,
uber_eats-00095,uber_eats,Zulas,zulas,2125 Highland Ave,,Highland Ave,2125,Birmingham,AL,35205,US,33.499634,-86.792458,"['Burgers', 'American', 'Sandwiches']",,
uber_eats-00096,uber_eats,The Southern Kitchen &amp; Bar,the southern kitchen amp bar,2301 Richard Arrington Jr Blvd N,,Richard Arrington Jr Blvd N,2301,Birmingham,AL,35203,US,33.52617,-86.80778,"['BBQ', 'American', 'Burgers']",,
uber_eats-00097,uber_eats,Potatoe Potatohz Perfic Pizza,potatoe potatohz perfic pizza,707 Richard Arrington Jr Blvd S,,Richard Arrington Jr Blvd S,707,Birmingham,AL,35233-2105,US,33.50655,-86.79829,"['Pizza', 'American', 'Wings']",,
uber_eats-00098,uber_eats,Martys,martys,1813 10th Ct S,,10th Ct S,1813,Birmingham,AL,35205,US,33.5001807,-86.7993151,"['American', 'Burgers', 'Exclusive to Eats']",,
uber_eats-00099,uber_eats,KC Wings,kc wings,2501 Avenue E,,Avenue E,2501,Birmingham,AL,35218,US,33.507739,-86.900656,"['Wings', 'American', 'Fast Food']",,
uber_eats-00100,uber_eats,The Craft Burger (Downtown),the craft burger downtown,321 20th St N,,20th St N,321,Birmingham,AL,35203,US,33.5170646,-86.8070706,"['American', 'Burgers']",,
uber_eats-00101,uber_eats,Exotic Wings &amp; Things,exotic wings amp things,2520 12th ave. N,,12th ave. N,2520,Birmingham,AL,35234,US,33.5311,-86.80644,"['Comfort Food', 'American', 'Wings']",,
uber_eats-00102,uber_eats,10th Ave Deli Shark Fish and Chicken,10th ave deli shark fish and chicken,4500 Richard Arrington Junior Boulevard North,,Richard Arrington Junior Boulevard North,4500,Birmingham,AL,35212,US,33.54327,-86.76939,"['Wings', 'American', 'Fast Food']",,
uber_eats-00103,uber_eats,Power Up! Breakfast Bowls (541-B Graymont Ave),power up breakfast bowls 541 b graymont ave,541-B Graymont Ave,,Graymont Ave,541-B,Birmingham,AL,35204,US,33.50915,-86.84565,"['American', 'Breakfast and Brunch', 'Coffee and Tea']",,
uber_eats-00104,uber_eats,Hot Chx Nashville Hot Chicken (541-B Graymont Ave),hot chx nashville hot chicken 541 b graymont ave,541-B Graymont Ave,,Graymont Ave,541-B,Birmingham,AL,35204,US,33.5098,-86.85464,"['American', 'Chicken', 'Sandwiches']",,
uber_eats-00105,uber_eats,Taqueria La Herradura,taqueria la herradura,344 Finley Avenue West,,Finley Avenue West,344,Birmingham,AL,35204,US,33.5346,-86.84286,"['Mexican', 'Breakfast and Brunch', 'Soup']",,
uber_eats-00106,uber_eats,THE BACK PORCH (A CHEF RON'S PLACE),the back porch a chef ron s place,1924 1st Avenue North,,1st Avenue North,1924,Bessemer,AL,35020,US,33.40241,-86.95105,"['Comfort Food', 'American', 'Burgers']",,
uber_eats-00107,uber_eats,Cabo Coastal Grill,cabo coastal grill,100 Frankfurt Cir,Ste A,Frankfurt Cir,100,Birmingham,AL,35211,US,33.43843,-86.86611,"['Mexican', 'Latin American', 'New Mexican']",,
uber_eats-00108,uber_eats,Breakfast Beauties (541-B Graymont Ave),breakfast beauties 541 b graymont ave,541-B Graymont Ave,,Graymont Ave,541-B,Birmingham,AL,35204,US,33.51104,-86.82711,"['American', 'Sandwiches', 'Burgers']",,
uber_eats-00109,uber_eats,Don't Grill My Cheese,don t grill my cheese,541-B Graymont Ave,,Graymont Ave,541-B,Birmingham,AL,35204,US,33.5098,-86.85464,"['American', 'Deli', 'Sandwiches']",,
uber_eats-00110,uber_eats,Post Office Pies (Avondale),post office pies avondale,,,,,,,,US,33.52467,-86.7739,"['Pizza', 'American', 'Italian']",4.6,32.0
uber_eats-00111,uber_eats,Monita's Bakery,monita s bakery,1021 Main Street,,Main Street,1021,Gardendale,AL,35071,US,33.652756,-86.810991,"['Breakfast and Brunch', 'American', 'Coffee and Tea']",,
uber_eats-00112,uber_eats,The Perfect Catch Bar and Grill,the perfect catch bar and grill,526 19th Street,,19th Street,526,"Ensley, Birmingham",AL,35218,US,33.512842,-86.895919,"['American', 'Sandwiches', 'Pasta']",,
uber_eats-00113,uber_eats,Tina and Ginas,tina and ginas,1821 2nd Avenue North,,2nd Avenue North,1821,Birmingham,AL,35203,US,33.51416,-86.80798,"['Sandwich', 'Fast Food', 'Healthy']",,
uber_eats-00114,uber_eats,D's Tamales Togo,d s tamales togo,258 Forest Rd,,Forest Rd,258,Hueytown,AL,35023,US,33.4518609,-86.9817898,"['Wings', 'American', 'Fast Food', 'Mexican']",,
uber_eats-00115,uber_eats,On Tap Sports Cafe (Fultondale),on tap sports cafe fultondale,1600 Main St,,Main St,1600,Fultondale,AL,35068,US,33.60897,-86.8007,"['Burgers', 'American', 'Wings']",,
uber_eats-00116,uber_eats,Tin Roof,tin roof,2709 7th Ave S,,7th Ave S,2709,Birmingham,AL,35233,US,33.51057,-86.78961,"['Burgers', 'American', 'Sandwiches']",3.8,18.0
