id,title,author,rating,numratings,language,genres,bookformat,edition,page_count,publisher,publish_year,price,isbn_clean
goodreads_530,Just Listen,Sarah Dessen (Goodreads Author),4.06,231380,English,"Young Adult, Romance, Contemporary, Fiction, Realistic Fiction, Chick Lit, Teen, Music, Young Adult Contemporary, High School",Hardcover,nan,371,Viking Books,2006,3.0199999809265137,0670061050
goodreads_601,Peace Like a River,Leif Enger,4.0,78941,English,"Fiction, Historical Fiction, Book Club, Adult Fiction, Adult, Literary Fiction, Novels, Contemporary, Coming Of Age, Family",Paperback,nan,312,Atlantic Monthly Press,2002,2.859999895095825,0802139256
goodreads_698,Glass Houses,Rachel Caine (Goodreads Author),3.91,93231,English,"Vampires, Young Adult, Paranormal, Fantasy, Urban Fantasy, Romance, Supernatural, Fiction, Paranormal Romance, Ghosts",Mass Market Paperback,nan,239,NAL Jam,2006,2.940000057220459,0451219945
goodreads_725,The Omnivore's Dilemma: A Natural History of Four Meals,Michael Pollan (Goodreads Author),4.17,182235,English,"Nonfiction, Food, Science, Health, History, Nutrition, Environment, Cooking, Audiobook, Politics",Hardcover,US / CAN Edition,450,The Penguin Press,2006,8.079999923706055,1594200823
goodreads_728,Collected Fictions,"Jorge Luis Borges, Andrew Hurley (Translator)",4.58,20586,English,"Fiction, Short Stories, Classics, Literature, Fantasy, Magical Realism, Philosophy, Latin American, Spanish Literature, Literary Fiction",Paperback,nan,565,Penguin Classics Deluxe Edition,1999,12.460000038146973,0140286802
goodreads_737,The Portrait of a Lady,"Henry James, Patricia Crick (Annotations)",3.77,72699,English,"Classics, Fiction, Literature, 19th Century, Novels, American, Historical Fiction, Classic Literature, Romance, Victorian",Paperback,nan,797,Penguin Classics,2003,1.9800000190734863,0141439637
goodreads_808,Kane and Abel,Jeffrey Archer,4.31,100491,English,"Fiction, Historical Fiction, Thriller, Drama, Classics, Novels, Historical, Mystery, Contemporary, Mystery Thriller",Paperback,nan,592,St. Martin's Paperbacks,2004,1.6399999856948853,0312995059
goodreads_873,"Roll of Thunder, Hear My Cry",Mildred D. Taylor,3.84,112394,English,"Historical Fiction, Young Adult, Fiction, Classics, Childrens, Middle Grade, School, Historical, African American, Read For School",Paperback,nan,288,Puffin Books,1991,3.299999952316284,014034893X
goodreads_878,This Lullaby,Sarah Dessen (Goodreads Author),4.02,170743,English,"Young Adult, Romance, Contemporary, Fiction, Chick Lit, Realistic Fiction, Teen, Music, Young Adult Contemporary, High School",Paperback,nan,345,Speak,2004,0.8799999952316284,0142501557
goodreads_890,The Fountainhead,"Ayn Rand, Leonard Peikoff (Goodreads Author) (Afterword)",3.87,297261,English,"Fiction, Classics, Philosophy, Literature, Novels, Politics, Architecture, Literary Fiction, American, Classic Literature",Mass Market Paperback,25 Aniv Edition ,704,Signet Book,1996,3.2100000381469727,0451191153
goodreads_908,Redwall,Brian Jacques,4.11,104549,English,"Fantasy, Fiction, Young Adult, Childrens, Animals, Adventure, Middle Grade, Classics, Science Fiction Fantasy, Audiobook",Paperback,nan,352,Red Fox,2006,3.7100000381469727,1862301387
goodreads_941,Eleven Minutes,"Paulo Coelho (Goodreads Author), Margaret Jull Costa (Translator)",3.7,148743,English,"Fiction, Romance, Novels, Contemporary, Philosophy, Literature, Adult, Spirituality, Drama, Brazil",Paperback,nan,273,HarperOne,2003,4.71999979019165,0060589280
goodreads_1002,Invisible Cities,"Italo Calvino, William Weaver (Translator)",4.12,62127,English,"Fiction, Classics, Fantasy, Short Stories, Magical Realism, Italian Literature, Literature, Italy, Architecture, Novels",Paperback,nan,165,Harcourt,1974,4.53000020980835,0156453800
goodreads_1008,Practical Magic,Alice Hoffman (Goodreads Author),3.77,75134,English,"Fantasy, Fiction, Magical Realism, Romance, Witches, Magic, Paranormal, Chick Lit, Adult, Adult Fiction",Paperback,Reissue,286,Penguin,2003,13.6899995803833,0425190374
goodreads_1052,The Color of Water: A Black Man's Tribute to His White Mother,James McBride (Goodreads Author),4.09,103804,English,"Nonfiction, Memoir, Biography, African American, Race, Biography Memoir, School, Autobiography, Book Club, Classics",Paperback,nan,291,Riverhead Books,2004,1.6200000047683716,1573225789
goodreads_1053,Brave New World / Brave New World Revisited,"Aldous Huxley, Christopher Hitchens (Foreword)",4.17,140217,English,"Classics, Fiction, Science Fiction, Dystopia, Literature, Novels, Fantasy, Philosophy, Science Fiction Fantasy, Politics",Paperback,nan,340,Harper Perennial Modern Classics,2005,14.569999694824219,0060776099
goodreads_1120,Effortless,S.C. Stephens (Goodreads Author),4.36,113408,English,"Romance, New Adult, Contemporary, Contemporary Romance, Music, College, Young Adult, Adult, Chick Lit, Erotica",Paperback,nan,487,Gallery Books,2013,7.309999942779541,1476717486
goodreads_1136,The Blue Castle,L.M. Montgomery,4.26,29712,English,"Classics, Fiction, Romance, Historical Fiction, Young Adult, Historical, Canada, Historical Romance, Adult, Adult Fiction",Mass Market Paperback,nan,218,Bantam Books,1989,10.460000038146973,0553280511
goodreads_1172,"The Life and Opinions of Tristram Shandy, Gentleman","Laurence Sterne, Melvyn New (Editor), Christopher Ricks (Introduction)",3.74,19119,English,"Classics, Fiction, Literature, 18th Century, Humor, Novels, British Literature, English Literature, Classic Literature, Irish Literature",Paperback,nan,735,Penguin Classics,2003,3.109999895095825,0141439777
goodreads_1185,Fantastic Beasts and Where to Find Them,"Newt Scamander (Pseudonym), J.K. Rowling",3.98,330094,English,"Fantasy, Fiction, Young Adult, Magic, Childrens, Audiobook, Middle Grade, Short Stories, Science Fiction Fantasy, Dragons",Hardcover,nan,128,Arthur A. Levine Books,2001,2.640000104904175,0439321603
goodreads_1209,River God,Wilbur Smith,4.2,34111,English,"Historical Fiction, Fiction, Historical, Egypt, Fantasy, Adventure, Africa, Thriller, Romance, Mystery",Paperback,nan,664,St. Martin's Paperbacks,1995,4.809999942779541,0312954468
goodreads_1268,Three Comrades,"Erich Maria Remarque, Arthur Wesley Wheen (Translator)",4.49,24651,English,"Classics, Fiction, German Literature, Historical Fiction, War, Germany, Literature, Novels, Historical, Drama",Paperback,nan,496,Random House Trade Paperbacks,1998,4.869999885559082,0449912426
goodreads_1281,The Third Policeman,"Flann O'Brien, Denis Donoghue (Introduction)",4.0,16157,English,"Fiction, Irish Literature, Ireland, Fantasy, Classics, Humor, Novels, Literature, Mystery, 20th Century",Paperback,nan,200,Dalkey Archive Press,1999,4.980000019073486,156478214X
goodreads_1287,The Day of the Jackal,Frederick Forsyth,4.26,117769,English,"Fiction, Thriller, Mystery, Crime, Espionage, Suspense, Historical Fiction, Drama, Mystery Thriller, Novels",Mass Market Paperback,nan,358,Bantam,1979,4.099999904632568,0553266306
goodreads_1293,Cloudy With a Chance of Meatballs,"Judi Barrett, Ron Barrett (Illustrator)",4.16,130431,English,"Picture Books, Childrens, Fiction, Fantasy, Classics, Food, Humor, Kids, Juvenile, Science Fiction Fantasy",Paperback,nan,32,Atheneum Books for Young Readers,1982,4.369999885559082,0689707495
goodreads_1322,The Boy Who Sneaks in My Bedroom Window,Kirsty Moseley (Goodreads Author),3.91,64690,English,"Romance, Young Adult, Contemporary, New Adult, Abuse, High School, Contemporary Romance, Chick Lit, Young Adult Romance, Love",Kindle Edition,nan,242,Createspace,2012,5.239999771118164,1469984016
goodreads_1364,Keeper of the Lost Cities,Shannon Messenger (Goodreads Author),4.46,30080,English,"Fantasy, Middle Grade, Young Adult, Adventure, Fiction, Magic, Childrens, Mystery, Young Adult Fantasy, Elves",Hardcover,nan,496,Aladdin,2012,9.510000228881836,1442445939
goodreads_1392,The Fiery Heart,Richelle Mead (Goodreads Author),4.34,66720,English,"Young Adult, Vampires, Fantasy, Paranormal, Romance, Magic, Urban Fantasy, Supernatural, Paranormal Romance, Witches",Hardcover,nan,420,Razorbill,2013,4.590000152587891,1595143203
goodreads_1395,Sons and Lovers,"D.H. Lawrence, Geoff Dyer (Goodreads Author) (Introduction)",3.63,47162,English,"Classics, Fiction, Literature, Novels, British Literature, Romance, 20th Century, Classic Literature, English Literature, Literary Fiction",Paperback,nan,654,Modern Library Classics,1999,1.909999966621399,0375753737
goodreads_1398,Pedro Páramo,"Juan Rulfo, Margaret Sayers Peden (Translator), Susan Sontag (Foreword)",4.06,42056,English,"Fiction, Classics, Magical Realism, Spanish Literature, Latin American, Novels, Literature, Latin American Literature, Fantasy, School",Paperback,Reprint Edition,128,Grove Press,1994,9.109999656677246,0802133908
goodreads_1406,Contact,"Carl Sagan, William Olivier Desmond (Translator)",4.13,124035,French,"Science Fiction, Fiction, Science Fiction Fantasy, Classics, Space, Novels, Fantasy, Aliens, Audiobook, Astronomy",Mass Market Paperback,nan,580,Pocket,1997,9.899999618530273,2266079999
goodreads_1412,The Source,James A. Michener,4.29,39140,English,"Historical Fiction, Fiction, Historical, Religion, Israel, Jewish, Novels, Archaeology, Judaism, Classics",Paperback,nan,1080,"Random House, Inc.",2002,4.320000171661377,0375760385
goodreads_1429,Red Storm Rising,Tom Clancy,4.17,69639,English,"Fiction, Thriller, Military Fiction, War, Action, Espionage, Suspense, Adventure, Mystery, Historical Fiction",Audio Cassette,Abridged,,Random House Audio,1988,6.150000095367432,0394298667
goodreads_1431,Crossroads and the Dominion of Four,C. Toni Graham (Goodreads Author),4.29,4404,nan,"Fiction, Novels, Young Adult, Adventure, New Adult, Fantasy, Adult, Magic, Science Fiction Fantasy, Contemporary",Paperback,nan,340,Balboa Press,2017,5.46999979019165,1504391616
goodreads_1461,"The Oedipus Cycle: Oedipus Rex, Oedipus at Colonus, Antigone","Sophocles, Robert Fitzgerald (Translator), Dudley Fitts (Translator)",3.98,57932,English,"Classics, Plays, Drama, Fiction, Mythology, School, Literature, Theatre, Poetry, Read For School",Paperback,nan,259,Mariner Books,2002,2.9000000953674316,015602764X
goodreads_1523,Hard Times,Charles Dickens,3.54,56829,English,"Classics, Fiction, Literature, 19th Century, Novels, Victorian, British Literature, Historical Fiction, School, Classic Literature",Paperback,nan,353,Pearson Longman,2003,9.1899995803833,0321107217
goodreads_1591,Ghost Story,Peter Straub (Goodreads Author),3.95,67317,English,"Horror, Fiction, Paranormal, Ghosts, Mystery, Thriller, Supernatural, Fantasy, Ghost Stories, Suspense",Paperback,nan,567,"Pocket Books / Simon & Schuster, Inc.",1989,7.579999923706055,0671685635
goodreads_1617,Dark Matter,Blake Crouch (Goodreads Author),4.09,259579,English,"Science Fiction, Fiction, Thriller, Mystery, Audiobook, Mystery Thriller, Adult, Fantasy, Science Fiction Fantasy, Suspense",Hardcover,nan,342,Crown,2016,15.890000343322754,1101904224
goodreads_1835,NOS4A2,Joe Hill (Goodreads Author),4.07,101462,English,"Horror, Fiction, Fantasy, Thriller, Audiobook, Paranormal, Vampires, Supernatural, Adult, Mystery",Hardcover,1st Edition,692,William Morrow,2013,8.6899995803833,0062200577
goodreads_1836,Good in Bed,Jennifer Weiner (Goodreads Author),3.73,279594,English,"Chick Lit, Fiction, Romance, Contemporary, Adult Fiction, Adult, Humor, Contemporary Romance, Womens Fiction, Novels",Paperback,nan,376,Washington Square Press,2002,3.0899999141693115,0743418174
goodreads_1843,Attachments,Rainbow Rowell (Goodreads Author),3.9,170853,English,"Romance, Fiction, Contemporary, Chick Lit, Adult, Young Adult, Adult Fiction, Contemporary Romance, Realistic Fiction, Humor",Hardcover,nan,323,Dutton,2011,8.390000343322754,0525951989
goodreads_1892,God's Spy,"Juan Gomez-Jurado (Goodreads Author), James Graham (Translator)",3.75,3579,English,"Thriller, Fiction, Mystery, Crime, Italy, Spanish Literature, Suspense, Religion, Adventure, Mystery Thriller",Hardcover,nan,368,Dutton,2007,3.799999952316284,0525949941
goodreads_1953,Lucifer's Hammer,"Larry Niven, Jerry Pournelle",3.99,39791,English,"Science Fiction, Fiction, Post Apocalyptic, Apocalyptic, Science Fiction Fantasy, Dystopia, Survival, Audiobook, Speculative Fiction, Classics",Paperback,#20813-3,629,Fawcett Crest,1977,8.850000381469727,0449208133
goodreads_2002,Rosemary's Baby,Ira Levin,4.0,111720,English,"Horror, Fiction, Classics, Thriller, Mystery, Fantasy, Paranormal, Supernatural, Suspense, Adult",Hardcover,nan,308,Signet,1997,15.34000015258789,0451194004
goodreads_2055,"South of the Border, West of the Sun","Haruki Murakami, Philip Gabriel (Translator)",3.87,87199,English,"Fiction, Japan, Japanese Literature, Contemporary, Romance, Novels, Literature, Magical Realism, Asia, Asian Literature",Paperback,nan,190,Vintage,2006,1.909999966621399,0099448572
goodreads_2068,Story of the Eye,"Georges Bataille, Joachim Neugroschel (Translator), Dovid Bergelson (Translation)",3.66,16454,English,"Fiction, France, Erotica, Classics, Horror, Literature, Philosophy, Novels, French Literature, Thriller",Paperback,nan,103,City Lights Publishers,2001,8.180000305175781,0872862097
goodreads_2072,Thief of Time,Terry Pratchett,4.23,61859,English,"Fantasy, Fiction, Humor, Comedy, Science Fiction Fantasy, Audiobook, Time Travel, Science Fiction, High Fantasy, Novels",Paperback,nan,378,HarperTorch,2008,6.820000171661377,0061031321
goodreads_2107,Narrative of the Life of Frederick Douglass,Frederick Douglass,4.04,94421,English,"Nonfiction, History, Classics, Biography, Memoir, School, Autobiography, African American, American History, Historical",Paperback,nan,158,Ingram,2004,10.5,1580495761
goodreads_2130,Hunger,Michael Grant (Goodreads Author),4.03,76288,English,"Young Adult, Dystopia, Science Fiction, Fantasy, Fiction, Paranormal, Horror, Adventure, Supernatural, Romance",Hardcover,nan,590,Katherine Tegen Books,2009,5.050000190734863,0061449067
goodreads_2132,Found,Margaret Peterson Haddix,3.98,37195,English,"Science Fiction, Young Adult, Mystery, Time Travel, Fantasy, Fiction, Middle Grade, Adventure, Childrens, Historical Fiction",Hardcover,nan,320,Simon Schuster Books for Young Readers,2008,5.260000228881836,1416954171
goodreads_2157,Guess How Much I Love You,"Sam McBratney, Anita Jeram",4.37,126119,English,"Picture Books, Childrens, Fiction, Animals, Family, Classics, Love, Kids, Storytime, Rabbits",Board book,nan,20,Candlewick,2005,2.8499999046325684,076360013X
goodreads_2160,Junky,"William S. Burroughs, Oliver Harris (Editor), Allen Ginsberg (Foreword)",3.84,55571,English,"Fiction, Classics, Novels, Literature, American, Contemporary, 20th Century, The United States Of America, Drama, Modern Classics",Paperback,50th Anniversary Definitive Edition,208,Penguin,2003,5.800000190734863,0142003166
goodreads_2185,Lincoln,Gore Vidal,4.22,8274,English,"Historical Fiction, Fiction, Civil War, Historical, Politics, American History, Literature, Presidents, American, Novels",Paperback,nan,672,Vintage,2000,10.520000457763672,0375708766
goodreads_2203,Pale Blue Dot: A Vision of the Human Future in Space,"Carl Sagan, Ann Druyan (Goodreads Author)",4.31,29695,English,"Science, Nonfiction, Astronomy, Space, Philosophy, Physics, Popular Science, Technology, Reference, Engineering",Paperback,nan,384,Ballantine Books,1997,15.010000228881836,0345376595
goodreads_2230,The Slippery Slope,"Lemony Snicket (Goodreads Author), Brett Helquist (Illustrator)",4.03,105566,English,"Fiction, Young Adult, Childrens, Fantasy, Middle Grade, Mystery, Adventure, Humor, Audiobook, Juvenile",Hardcover,nan,337,HarperCollins Publishers,2003,2.759999990463257,0064410137
goodreads_2252,"Saga, Vol. 1","Brian K. Vaughan (Goodreads Author) (Writer), Fiona Staples (Artist)",4.18,251742,English,"Graphic Novels, Comics, Fantasy, Science Fiction, Fiction, Graphic Novels Comics, Adult, Romance, Comic Book, Adventure",Paperback,nan,176,Image Comics,2012,2.5399999618530273,1607066017
goodreads_2304,"Dancing with The Field: Bringing Joy, Passion and Play into Everyday Life",Kris Kelkar (Goodreads Author),4.37,500,English,"Epic, Contemporary, Drama, Book Club",Paperback,nan,132,Independently Published,2019,10.9399995803833,1093603283
goodreads_2385,Summer Knight,Jim Butcher (Goodreads Author),4.27,127628,English,"Fantasy, Urban Fantasy, Fiction, Mystery, Paranormal, Magic, Audiobook, Supernatural, Science Fiction Fantasy, Vampires",Mass Market Paperback,nan,446,Roc,2002,3.7799999713897705,0451458923
goodreads_2395,Fever 1793,Laurie Halse Anderson (Goodreads Author),3.92,105622,English,"Historical Fiction, Young Adult, Fiction, Historical, Middle Grade, Childrens, Teen, School, Survival, Audiobook",Paperback,nan,252,Aladdin,2000,3.5799999237060547,0689848919
goodreads_2442,Night Film,Marisha Pessl (Goodreads Author),3.78,79670,English,"Mystery, Fiction, Thriller, Horror, Mystery Thriller, Adult, Crime, Suspense, Contemporary, Adult Fiction",Paperback,nan,640,Random House Trade Paperbacks,2014,9.579999923706055,0812979788
goodreads_2484,The Body,Stephen King (Goodreads Author),4.26,36450,English,"Horror, Fiction, Short Stories, Coming Of Age, Audiobook, Thriller, Young Adult, Mystery, Novella, Classics",Paperback,Penguin Reader: Level 5,80,Penguin Books,1999,5.679999828338623,0582418178
goodreads_2549,Tropic of Capricorn,Henry Miller,3.78,17642,English,"Fiction, Classics, Literature, Novels, Erotica, American, Thriller, Suspense, Mystery, The United States Of America",Paperback,nan,348,Grove Press,1994,6.760000228881836,0802151825
goodreads_2562,The Penultimate Peril,"Lemony Snicket (Goodreads Author), Brett Helquist (Illustrator)",4.05,89009,English,"Fiction, Young Adult, Childrens, Fantasy, Mystery, Middle Grade, Adventure, Humor, Audiobook, Juvenile",Hardcover,nan,353,HarperCollins Publishers,2005,1.909999966621399,0064410153
goodreads_2657,Unwifeable: A Memoir,Mandy Stadtmiller (Goodreads Author),3.58,1599,English,"Memoir, Nonfiction, Humor, Biography Memoir, Womens, Biography, Feminism, Autobiography, Relationships, New York",Hardcover,nan,321,Gallery Books,2018,3.1700000762939453,1501174037
goodreads_2669,The Watsons Go to Birmingham - 1963,Christopher Paul Curtis,3.97,59293,English,"Historical Fiction, Young Adult, Fiction, Middle Grade, Childrens, Historical, School, African American, Family, Classics",Paperback,nan,224,Laurel Leaf,2000,1.059999942779541,044022800X
goodreads_2680,The Boxcar Children,"Gertrude Chandler Warner, L. Kate Deal (Illustrator)",4.11,119026,English,"Childrens, Fiction, Mystery, Classics, Young Adult, Middle Grade, Chapter Books, Adventure, Juvenile, Realistic Fiction",Paperback,nan,160,Albert Whitman Company,1989,3.1600000858306885,0807508527
goodreads_2693,"That Was Then, This Is Now",S.E. Hinton (Goodreads Author),3.92,29339,English,"Young Adult, Fiction, Classics, Coming Of Age, Teen, Contemporary, Realistic Fiction, School, Childrens, High School",Paperback,nan,159,Speak,1998,8.4399995803833,0140389660
goodreads_2723,Without Remorse,Tom Clancy,4.18,62681,English,"Fiction, Thriller, Action, Espionage, Military Fiction, Suspense, Mystery, Adventure, Mystery Thriller, War",Paperback,nan,750,Berkley Books,1994,3.9000000953674316,0425143325
goodreads_2724,Finding Audrey,Sophie Kinsella (Goodreads Author),3.77,67779,English,"Young Adult, Contemporary, Romance, Fiction, Mental Health, Chick Lit, Mental Illness, Audiobook, Realistic Fiction, Young Adult Contemporary",Hardcover,nan,286,Delacorte Books for Young Readers,2015,3.4800000190734863,0553536516
goodreads_2811,Kitchen,"Banana Yoshimoto, Megan Backus (Translator)",3.86,48455,English,"Fiction, Japan, Japanese Literature, Short Stories, Contemporary, Asia, Novels, Asian Literature, Literature, Romance",Paperback,nan,160,Grove Press,2006,12.5,0802142443
goodreads_2866,The White Dragon,Anne McCaffrey,4.18,41972,English,"Fantasy, Science Fiction, Dragons, Fiction, Science Fiction Fantasy, Young Adult, High Fantasy, Adult, Speculative Fiction, Adventure",Mass Market Paperback,nan,468,Del Rey/Ballantine Books,1986,1.909999966621399,0345341678
goodreads_2922,Consequences,Aleatha Romig (Goodreads Author),3.93,39689,English,"Dark, Romance, Abuse, Contemporary, Adult, Thriller, Erotica, Suspense, BDSM, Fiction",Hardcover,nan,368,Xlibris Corporation,2011,,1465341889
goodreads_2973,A Raisin in the Sun,Lorraine Hansberry,3.81,67163,English,"Plays, Classics, Fiction, Drama, School, Read For School, African American, Historical Fiction, High School, Theatre",Hardcover,nan,162,Random House,2002,13.8100004196167,0375508333
goodreads_2986,My Family and Other Animals,Gerald Durrell,4.22,39308,English,"Nonfiction, Memoir, Biography, Humor, Animals, Travel, Classics, Nature, Greece, Autobiography",Paperback,nan,273,Penguin Books,2004,5.050000190734863,0142004413
goodreads_3032,"Naruto, Vol. 01: Uzumaki Naruto","Masashi Kishimoto, Katy Bridges (Translator)",4.39,144916,English,"Manga, Fantasy, Comics, Graphic Novels, Young Adult, Fiction, Adventure, Comics Manga, Anime, Action",Paperback ,SHONEN JUMP Manga Edition,187,VIZ Media,2014,3.319999933242798,1569319006
goodreads_3036,Luck in the Shadows,Lynn Flewelling (Goodreads Author),4.08,18546,English,"Fantasy, LGBT, M M Romance, Fiction, Romance, High Fantasy, Queer, Magic, Adventure, Gay",Mass Market Paperback,nan,479,Bantam Spectra,1996,3.549999952316284,0553575422
goodreads_3043,Savvy,Ingrid Law (Goodreads Author),3.98,44900,English,"Fantasy, Middle Grade, Young Adult, Fiction, Childrens, Adventure, Magic, Juvenile, Family, Coming Of Age",Hardcover,nan,342,Dial Books,2008,4.400000095367432,0803733062
goodreads_3050,The Promise,Chaim Potok,4.16,12387,English,"Fiction, Jewish, Classics, Historical Fiction, Religion, Judaism, Literature, Novels, Young Adult, Literary Fiction",Paperback,nan,368,Anchor Books,2005,5.269999980926514,1400095417
goodreads_3058,Covet,J.R. Ward (Goodreads Author),3.91,46888,English,"Paranormal, Paranormal Romance, Romance, Angels, Fantasy, Urban Fantasy, Demons, Adult, Fiction, Supernatural",Mass Market Paperback,nan,474,Signet,2009,3.8399999141693115,0451228219
goodreads_3115,The Christmas Sweater,Glenn Beck,3.8,14808,English,"Christmas, Fiction, Inspirational, Holiday, Christian Fiction, Adult Fiction, Christian, Adult, Family, Book Club",Hardcover,nan,284,Threshold Editions,2008,3.0899999141693115,141659485X
goodreads_3132,Generation X: Tales for an Accelerated Culture,Douglas Coupland (Goodreads Author),3.73,26693,English,"Fiction, Contemporary, Canada, Novels, Literature, Classics, Literary Fiction, Short Stories, 20th Century, American",Paperback,nan,211,Abacus,1996,1.4500000476837158,0349108390
goodreads_3169,The Long Walk: The True Story of a Trek to Freedom,Slavomir Rawicz,4.21,16158,English,"Nonfiction, Biography, Travel, Survival, War, Autobiography, World War II, Memoir, Historical, Biography Memoir",Paperback,nan,256,Lyons Press,2006,3.2799999713897705,1592289444
goodreads_3294,Child of God,Cormac McCarthy,3.77,34790,English,"Fiction, Horror, Southern Gothic, Literature, Novels, American, Southern, Literary Fiction, Crime, Gothic",Paperback,nan,197,Vintage,1993,5.190000057220459,0679728740
goodreads_3407,Peeps,Scott Westerfeld (Goodreads Author),3.77,23950,English,"Young Adult, Vampires, Fantasy, Science Fiction, Paranormal, Fiction, Horror, Urban Fantasy, Teen, Supernatural",Paperback,nan,312,Razorbill,2006,2.859999895095825,1595140832
goodreads_3417,Son,Lois Lowry (Goodreads Author),3.98,81503,English,"Young Adult, Dystopia, Fiction, Fantasy, Science Fiction, Middle Grade, Classics, Audiobook, Childrens, Teen",Hardcover,nan,393,HMH Books for Young Readers,2012,5.630000114440918,0547887205
goodreads_3422,The Windup Girl,Paolo Bacigalupi (Goodreads Author),3.75,64382,English,"Science Fiction, Fiction, Dystopia, Steampunk, Fantasy, Post Apocalyptic, Science Fiction Fantasy, Cyberpunk, Speculative Fiction, Audiobook",Hardcover,nan,359,Night Shade Books,2009,9.529999732971191,1597801577
goodreads_3425,Stiff: The Curious Lives of Human Cadavers,Mary Roach (Goodreads Author),4.06,171800,English,"Nonfiction, Science, Humor, Medical, Death, Medicine, Audiobook, History, Adult, Biology",Paperback,nan,303,W. W. Norton Company,2004,2.9000000953674316,0393324826
goodreads_3492,Stone Butch Blues,Leslie Feinberg,4.35,18395,English,"Queer, Fiction, LGBT, Feminism, Gender, Lesbian, Transgender, Classics, Gay, Historical Fiction",Hardcover,nan,308,Alyson Books,2003,87.4800033569336,1555838537
