id,title,author,rating,numratings,language,genres,publisher,page_count,price,publish_year,isbn_clean
metabooks_14908,Specimen Days: A Novel,Michael Cunningham,4.3,230,English,"Literature, Fiction, Short Stories, Anthologies",Picador,336.0,11.33,,0312425023
metabooks_14958,Treasure of Lima (Rogue Angel),Alex Archer,4.5,54,English,"Literature, Fiction, Action, Adventure",Gold Eagle,320.0,60.27,,0373621663
metabooks_15110,The Importance Of Living,Yutang Lin,4.3,291,English,"Politics, Social Sciences, Philosophy",William Morrow Paperbacks,462.0,15.49,,0688163521
metabooks_15113,Blood-Red Rivers,Jean-Christophe Grangé,3.8,17,English,"Mystery, Thriller, Suspense, Mystery",Harvill Pr,327.0,80.97,,1860466591
metabooks_15289,The Wonderful Wizard of Oz (Oxford World's Classics),L. Frank Baum,4.5,9983,English,"Children's Books, Science Fiction, Fantasy",Oxford University Press,336.0,5.98,2000.0,0192839306
metabooks_15998,What's Eating Gilbert Grape,Peter Hedges,4.3,1949,English,"Literature, Fiction, Genre Fiction",Simon & Schuster,336.0,12.49,,0671038540
metabooks_16097,Cooking For Dummies,Bryan Miller,4.3,133,English,"Cookbooks, Food, Wine",For Dummies,536.0,8.33,,0764552503
metabooks_16759,Supreme Clientele,Ashley JaQuavis,4.7,1080,English,"Literature, Fiction, Genre Fiction",Urban Books,,27.36,,1601621507
metabooks_17010,Serpico,Peter Maas,4.7,261,English,"Politics, Social Sciences, Government",Harper Perennial,416.0,12.39,,0060738189
metabooks_17166,Lighting the Bay: Tales of Chesapeake Lighthouses,Pat Vojtech,4.4,5,English,"History, Americas",Schiffer Pub Ltd,208.0,34.95,,0870334662
metabooks_17402,The Right Side: A Novel,Spencer Quinn,4.5,911,English,"Mystery, Thriller, Suspense, Mystery",Atria Books,336.0,20.54,,1501118404
metabooks_17925,The Letter of the Law,Tim Green,4.4,107,English,"Mystery, Thriller, Suspense, Thrillers",Warner Books,341.0,9.75,,0446522996
metabooks_18042,The Darkest Hour (A KGI Novel),Maya Banks,4.5,2466,English,"Literature, Fiction, Genre Fiction",Berkley,304.0,7.99,2010.0,0425227944
metabooks_18125,Betsy Was a Junior/Betsy and Joe,Maud Hart Lovelace,4.8,297,English,"Teen, Young Adult, Literature, Fiction",William Morrow Paperbacks,640.0,,,0061794724
metabooks_18269,The Hidden Reality: Parallel Universes and the Deep Laws of the Cosmos,Brian Greene,4.6,1630,English,"Science, Math, Astronomy, Space Science",Knopf,384.0,21.35,,0307265633
metabooks_18521,Pale Blue Dot: A Vision of the Human Future in Space,Carl Sagan,4.7,2291,English,"Engineering, Transportation",Ballantine Books,384.0,15.99,,0345376595
metabooks_19332,Pigeon Post (Swallows and Amazons),Arthur Ransome,4.6,363,English,"Children's Books, Action, Adventure","David R. Godine, Publisher",382.0,15.95,,087923864X
metabooks_19577,I Wish Someone Were Waiting for Me Somewhere,Anna Gavalda,4.1,91,English,"Literature, Fiction, Short Stories, Anthologies",Riverhead Trade,208.0,15.89,,1573223557
metabooks_19937,The Devil's Redhead,David Corbett,4.1,42,English,"Literature, Fiction, Action, Adventure",Ballantine Books,416.0,6.58,2003.0,0449007162
metabooks_20186,Across the River and into the Trees,Ernest Hemingway,3.9,888,English,"Literature, Fiction, United States",Scribner,272.0,26.66,,0684844648
metabooks_20468,Enlightened: Book Two of The Light Tamer Trilogy,Devyn Dawson,4.4,107,English,"Children's Books, Fairy Tales, Folk Tales, Myths",Devyn Dawson Books,222.0,10.99,2012.0,0615717594
metabooks_20485,The Glass Sentence (The Mapmakers Trilogy),S. E. Grove,4.4,354,English,"Children's Books, Literature, Fiction",Viking Books For Young Readers,512.0,19.79,,0670785024
metabooks_20620,Mirrors of Time,Brian L. Weiss,4.1,111,English,"Religion, Spirituality",Hay House,64.0,18.34,,1561709298
metabooks_20872,Code 61 (Carl Houseman),Donald Harstad,4.5,133,English,"Mystery, Thriller, Suspense, Thrillers",Bantam,480.0,7.99,,0553580981
metabooks_20996,Keepers of the Earth: Native American Stories and Environmental Activities for Children,Michael J. Caduto,4.8,94,English,"Children's Books, Science, Nature, How It Works",Fulcrum Publishing,240.0,26.49,1988.0,1555910270
metabooks_21001,Mastering Computer Typing: A Painless Course for Beginners and Professionals,Sheryl Lindsell-Roberts,4.4,72,English,"Business, Money, Skills",Houghton Mifflin Harcourt,194.0,14.35,1995.0,0395714060
metabooks_21083,Backyard Explorer Kit with Leaf and Tree Guide,Rona Beame,5.0,2,English,Children's Books,Workman Publishing Company,64.0,19.54,1989.0,0894803433
metabooks_22797,Rainbow Goblins,Ul De Rico,4.9,972,English,"Children's Books, Science Fiction, Fantasy",Thames & Hudson,32.0,18.0,1978.0,0500277591
metabooks_23005,AUTOBIOGRAPHICAL NOVEL PA (Revived Modern Classic),Kenneth Rexroth,3.8,4,English,"Biographies, Memoirs, Arts, Literature",New Directions,542.0,23.95,,0811211797
metabooks_23271,Books of Wonder Oz Box Set: The Wonderful Wizard of Oz / The Marvelous Land of Oz / Ozma of Oz,L. Frank Baum,4.8,33,English,"Boxed Sets, Children's Books",Harpercollins,,6.47,,0064409473
metabooks_24587,The Judge,Steve Martini,4.4,1248,English,"Mystery, Thriller, Suspense, Thrillers",Putnam Adult,389.0,14.93,1996.0,0399140433
metabooks_24701,"Sins of the Night (Dark-Hunter, Book 8), Cover may vary",Sherrilyn Kenyon,4.7,1660,English,"Science Fiction, Fantasy",St. Martin'S Paperbacks,384.0,8.99,,0312934327
metabooks_24792,Dr. Haggard's Disease,Patrick McGrath,3.8,45,English,"Literature, Fiction, United States",Poseidon Pr,191.0,14.95,,0671727338
metabooks_25401,Zoo Vet: Adventures of a Wild Animal Doctor,David Taylor,4.6,25,English,"Engineering, Transportation",Dell Pub Co,,9.43,1978.0,0440199034
metabooks_25526,Heartless Marriage,Helen Brooks,3.8,164,English,"Romance, Contemporary",Harlequin,189.0,35.0,1996.0,0373118449
metabooks_25882,Middle School Is Worse Than Meatloaf: A Year Told Through Stuff,Jennifer L. Holm,4.3,85,English,"Children's Books, Growing Up, Facts of Life",Atheneum Books For Young Readers,128.0,14.99,,0689852819
metabooks_25973,Meditations for Soul Realization,Master Choa Kok Sui,4.6,19,English,,Institute For Inner Studies,133.0,5.65,,971911066X
metabooks_26427,The Keys to the Kingdom #6: Superior Saturday,Garth Nix,4.7,540,English,"Children's Books, Science Fiction, Fantasy",Scholastic Press,288.0,12.05,,0439700892
metabooks_26704,"Love, Guilt and Reparation: And Other Works 1921-1945 (The Writings of Melanie Klein, Volume 1)",Melaine Klein,4.7,90,English,"Literature, Fiction, Short Stories, Anthologies",Free Press,480.0,23.49,,074323765X
metabooks_26858,Dianetics,L. Ron Hubbard,4.0,1699,English,,Bridge Publications Inc,,6.84,1982.0,0884041085
metabooks_27343,501 French Verbs,Christopher Kendris,4.5,17,"English, French",,Barrons Educational Series Inc,618.0,71.59,,0812043634
metabooks_28031,The Day of the Lie,William Brodrick,4.1,201,English,,"Little, Brown Young Readers",,11.57,2012.0,140870188X
metabooks_28522,Vampire Diaries #1: The Awakening (The Vampire Diaries),L. J. Smith,4.3,574,English,"Teen, Young Adult, Science Fiction, Fantasy",Harper,320.0,19.55,1999.0,0061020001
metabooks_28921,The Island of Lost Maps: A True Story of Cartographic Crime,Miles Harvey,4.0,206,English,"Arts, Photography, History, Criticism",Broadway,432.0,2.99,2001.0,0767908260
metabooks_29328,Act in Doctrine,David A. Bednar,5.0,157,English,,Deseret Book Company,176.0,17.47,,1609072278
metabooks_29338,Guy Gilchrist's Tiny Dinos Playing Together: A Book of Everyday Feelings,Guy Gilchrist,5.0,3,English,Children's Books,Warner Juvenile Books,,17.99,,1557820147
metabooks_29419,The Ghost Brigades,John Scalzi,4.4,14619,English,"Science Fiction, Fantasy",Tor Science Fiction,,5.99,,0765354063
metabooks_31220,The Miracle of Mindfulness: An Introduction to the Practice of Meditation,Thich Nhat Hanh,4.6,4337,English,"Health, Fitness, Dieting, Alternative Medicine",Beacon Press,140.0,10.19,,0807012394
metabooks_31435,New York Debut,Melody Carlson,4.1,15,English,"Teen, Young Adult, Literature, Fiction",Zondervan,224.0,5.89,2009.0,0310714931
metabooks_31461,Until You're Mine,Lisa Higdon,3.7,7,English,"Literature, Fiction, United States",Zebra,320.0,37.95,2004.0,0821771094
metabooks_31745,"Meditations at 10,000 Feet: A Scientist in the Mountains by James S Trefil (1986-05-03)",James S. Trefil,4.5,5,English,"Science, Math, Earth Sciences",Charles Scribner'S Sons,236.0,,1986.0,0684186276
metabooks_32131,The Phalanx Dragon,Timothy Rizzi,4.2,5,English,"Literature, Fiction, Genre Fiction",Leisure Books,480.0,6.33,,0843938854
metabooks_32660,"Pigeon Needs a Bath!, The-Pigeon series",Mo Willems,4.9,5486,English,"Children's Books, Animals",Hyperion Books For Children,40.0,9.39,,1423190874
metabooks_32708,Mycelium Running: How Mushrooms Can Help Save the World,Paul Stamets,4.8,2732,English,"Crafts, Hobbies, Home, Gardening, L, scape Design",Ten Speed Press,356.0,19.65,,1580085792
metabooks_32857,On the Night of the Seventh Moon,Victoria Holt,4.4,785,English,"Romance, Historical",Ballantine Books,384.0,1.87,1982.0,0449212289
metabooks_33900,Bitten,Dan O'Brien,4.0,222,English,"Mystery, Thriller, Suspense, Thrillers",Createspace Independent Publishing Platform,224.0,29.6,2012.0,1467972320
metabooks_33930,How to Hide Money from Your Hu...And Other Time-Honored Ways to Build A Nest Egg: The Best Kept Secret of Marriage,Heidi Evans,4.0,12,English,"Self-Help, Relationships",Simon & Schuster,208.0,19.75,,0684841878
metabooks_34029,A Chair for My Mother: A Caldecott Honor Award Winner,Vera B. Williams,4.9,1147,English,"Children's Books, Literature, Fiction",Greenwillow Books,32.0,15.29,,068800914X
metabooks_34225,Susan Butcher and the Iditarod Trail,Ellen M. Dolan,4.6,17,English,"Sports, Outdoors, Winter Sports",Walker & Co,,6.88,1996.0,0802774962
metabooks_35075,Rubyfruit Jungle,Rita Mae Brown,4.4,1851,English,"LGBTQ+ Books, Literature, Fiction",Bantam,,5.47,,0553238132
metabooks_35851,Escape from Libby Prison,James Gindlesperger,5.0,7,English,"Biographies, Memoirs, Leaders, Notable People",White Mane Pub,254.0,10.23,1996.0,0942597915
metabooks_35857,Larceny and Old Lace,Tamar Myers,4.2,61,English,"Literature, Fiction, Women's Fiction",Avon Books,,5.94,,0380782391
metabooks_35966,This Is What Happy Looks Like,Jennifer E. Smith,4.1,651,English,"Teen, Young Adult, Literature, Fiction",Poppy,416.0,16.94,,0316212822
metabooks_36100,The Last Detective,Robert Crais,4.5,5680,English,"Literature, Fiction, Action, Adventure",Ballantine Books,352.0,6.93,,0345451902
metabooks_36410,"The Walking Dead, Vol. 3: Safety Behind Bars",Robert Kirkman,4.7,2477,English,"Comics, Graphic Novels",Image Comics,136.0,14.95,2005.0,1582404879
metabooks_36821,The New Super-Nutrition,Richard A. Passwater,4.3,16,English,"Health, Fitness, Dieting",Pocket,320.0,6.88,,0671700715
metabooks_37112,Brave New World & Brave New World Revisited,Aldous Huxley,4.7,2097,English,"Literature, Fiction, History, Criticism",Harpperen,336.0,10.1,1965.0,0060901012
metabooks_37409,Blessing: The Art and the Practice,David Spangler,4.6,37,English,"Christian Books, Bibles, Christian Living",Riverhead Books,352.0,16.0,,1573229342
metabooks_37558,The White Gryphon (Mage Wars),Mercedes Lackey,4.7,821,English,"Science Fiction, Fantasy",Daw,400.0,9.99,1996.0,0886776821
metabooks_37817,Emerald (1) (Gemstone Thrillers),Garner Scott Odell,4.0,16,English,"Literature, Fiction, Action, Adventure",Mirador Publishing,258.0,,2016.0,1911473603
metabooks_38153,Adventures of Huckleberry Finn,Mark Twain,4.5,14488,English,"Literature, Fiction, Genre Fiction",Random House,418.0,14.95,,0679448896
metabooks_38336,A Little Princess (Penguin Classics),Frances Hodgson Burnett,4.6,5913,English,"Literature, Fiction, Genre Fiction",Penguin Classics,242.0,12.0,2002.0,0142437018
metabooks_38439,Life Story of the Flash,Mark Waid,4.4,34,English,"Comics, Graphic Novels, Publishers",Dc Comics,96.0,17.49,1998.0,1563893657
metabooks_38474,The Comeback: It's Not Too Late and You're Never Too Far,Louie Giglio,4.7,649,English,"Christian Books, Bibles, Bible Study, Reference",Thomas Nelson,256.0,4.51,2015.0,0718042182
metabooks_38578,"How to Lose an Extraterrestrial in 10 Days (Otherworldly Men, Book 3)",Susan Grant,4.3,82,English,"Literature, Fiction, United States",Hqn,384.0,14.99,,0373772416
metabooks_38756,A Dark Dividing,Sarah Rayne,4.1,244,English,"Literature, Fiction, Genre Fiction",Simon & Schuster Uk,576.0,5.87,2005.0,0743450906
metabooks_38780,The Maltese falcon,Dashiell Hammett,4.3,5188,English,"Mystery, Thriller, Suspense, Mystery",Orion Paperbacks,224.0,7.37,,0752847643
metabooks_38821,"Dark Heart: Book I of Dragon's Disciple (Dragon's Disciple, 1)",Margaret Weis,4.5,37,English,"Science Fiction, Fantasy",Harper Voyager,448.0,5.5,1999.0,0061057916
metabooks_39052,My Family and Other Animals,Gerlad Malcolm Durrell,4.5,7875,English,"Travel, Europe",Penguin Books,288.0,14.99,,0142004413
metabooks_39311,Green Eyes,Lucius Shepard,3.9,16,English,"Science Fiction, Fantasy",Ace,275.0,16.99,,0441302742
metabooks_39752,Wicked Game,Jeri Smith-Ready,4.3,84,English,"Science Fiction, Fantasy",Pocket Books,361.0,23.1,2008.0,141655176X
metabooks_41266,Rowan and the Ice Creepers (Rowan of Rin #5),Emily Rodda,4.7,39,English,"Children's Books, Growing Up, Facts of Life",Greenwillow Books,272.0,10.33,2004.0,0064410234
metabooks_42682,Sorcerers!,Jack Dann,4.3,8,English,"Literature, Fiction, United States",Ace,,18.17,,0441775322
metabooks_42980,Sport,Louise Fitzhugh,4.5,116,English,,Delacorte Press,218.0,43.99,1979.0,0440078865
metabooks_43199,The Sarah Dessen Gift Set (3 Books),Sarah Dessen,4.7,40,English,"Children's Books, Growing Up, Facts of Life",Speak,1136.0,29.95,,0142405981
metabooks_43400,Romance,Ed McBain,4.3,161,English,"Mystery, Thriller, Suspense, Thrillers",Warner Books,336.0,7.77,,0446518042
metabooks_43542,We Belong to the Land: The Story of a Palestinian Israeli Who Lives for Peace and Reconciliation (The Erma Konya Kess Lives of the Just and Virtuous Series),Elias Chacour,4.7,53,English,"Politics, Social Sciences, Government",University Of Notre Dame Press,232.0,20.76,,0268019630
metabooks_43624,"The Redneck Manifesto: How Hillbillies, Hicks, and White Trash Became America's Scapegoats",Jim Goad,4.5,290,English,"Politics, Social Sciences",Simon & Schuster,272.0,15.89,,0684838648
metabooks_44143,A Year of Living Consciously: 365 Daily Inspirations for Creating a Life of Passion and Purpose,Gay Hendricks,4.7,182,English,"Health, Fitness, Dieting, Diets, Weight Loss",Harperone,400.0,11.99,,0062515888
metabooks_44451,101 Uses for a Dead Cat,Simon Bond,4.6,435,English,"Humor, Entertainment",Potter Style,96.0,9.99,,0517545160
metabooks_44571,"MY GAL SUNDAY LARGE PRINT: ""Henry and Sunday"" Stories",Mary Higgins Clark,4.1,966,English,"Mystery, Thriller, Suspense, Thrillers",Simon & Schuster,400.0,9.99,1996.0,0684832380
metabooks_44833,Fire Lover: A True Story,Joseph Wambaugh,4.1,1519,English,"Biographies, Memoirs, True Crime",Avon Books,,,2003.0,0060095288
metabooks_44885,Black Light,Stephen Hunter,4.6,3868,English,"Literature, Fiction, Action, Adventure",Random House Audio,4.0,6.5,1996.0,055347748X
metabooks_45265,The Nitpicker's Guide for Next Generation Trekkers,Phil Farrand,4.4,58,English,"Reference, Writing, Research, Publishing Guides",Random House Publishing Group,433.0,14.26,1993.0,0440505712
metabooks_45346,Betty Crocker's Microwaving for One or Two,Betty Crocker,4.3,11,English,"Cookbooks, Food, Wine, Cooking Methods",Random House,128.0,12.9,,0394535936
metabooks_45462,Regenesis,C. J. Cherryh,4.6,291,English,"Science Fiction, Fantasy",Daw Hardcover,592.0,,,0756405300
metabooks_45539,Man-Kzin Wars VII,Larry Niven,4.5,27,English,"Science Fiction, Fantasy",Baen,352.0,1.49,1995.0,0671876708
metabooks_45806,The Bay of Angels: A Novel,Anita Brookner,3.7,79,English,"Literature, Fiction, Literary",Random House,208.0,20.98,,0375505822
metabooks_46243,Watership Down,Richard Adams,4.7,10827,English,"Literature, Fiction",Penguin Uk,480.0,7.49,1973.0,0140039589
metabooks_46506,South of No North: Stories of the Buried Life,Charles Bukowski,4.5,241,English,"Literature, Fiction, Genre Fiction",Ecco,192.0,12.31,2002.0,0876851898
metabooks_46696,Wild Things (Chicagoland Vampires),Chloe Neill,4.6,1767,English,"Science Fiction, Fantasy",New American Library,368.0,14.4,,0451415191
metabooks_46709,Civil War,Bruce Catton,4.7,288,English,"History, Americas",Random House Value Publishing,341.0,82.7,,0517294095
metabooks_46945,The Search for Delicious,Natalie Babbitt,4.7,286,English,,Trumpet Club,167.0,9.99,,0440843901
metabooks_47076,The Magic of Oz (Dover Children's Classics),L. Frank Baum,4.5,479,English,"Children's Books, Science Fiction, Fantasy",Dover Publications,288.0,11.94,,0486400190
metabooks_47448,A Very Particular Murder,S. T. Haymon,3.8,4,English,"Literature, Fiction",Crimeline,,12.48,1991.0,0553288806
metabooks_47472,Rifts Mercenaries: A Giant Sourcebook for Rifts,Carlos J. Martijena-Carella,4.7,41,English,"Science Fiction, Fantasy, Gaming",Palladium Books,160.0,30.51,,0916211703
metabooks_47494,Hard Travel to Sacred Places,Rudolph Wurlitzer,4.0,17,English,"Reference, Writing, Research, Publishing Guides",Shambhala,,19.35,,1570621179
metabooks_47785,Arabesk,Barbara Nadel,4.2,396,English,"Mystery, Thriller, Suspense, Mystery",Headline Book Publishing,416.0,16.03,2001.0,0747262195
metabooks_47937,"PHARAOH - VOLUME II (Kleopatra, 2)",Karen Essex,4.4,35,English,"Literature, Fiction, Genre Fiction",Grand Central Publishing,416.0,17.8,,0446530255
metabooks_48361,The Lake,Richard Laymon,4.2,400,English,"Literature, Fiction, Genre Fiction",Dorchester Pub Co Inc,374.0,12.44,,0843954507
metabooks_48469,Death of a Swagman,Arthur W. Upfield,4.6,200,English,"Mystery, Thriller, Suspense, Mystery",Scribner Paper Fiction,224.0,69.99,,0684174820
metabooks_48551,Ben-Hur: A Tale of the Christ,Lew Wallace,4.5,2062,English,"Christian Books, Bibles, Literature, Fiction",Norilana Books,620.0,34.71,2007.0,1934648205
metabooks_48626,Moe the Dog in Tropical Paradise,Diane Stanley,4.9,25,English,"Children's Books, Growing Up, Facts of Life",Puffin,32.0,6.64,1999.0,0698117611
metabooks_48792,This Changes Everything: Capitalism vs. The Climate,Naomi Klein,4.5,3819,English,"Politics, Social Sciences, Government",Simon & Schuster,576.0,19.78,,1451697384
metabooks_49506,The Serendipity Bible study book: Includes the complete NIV New Testament,Lyman Coleman,3.9,9,English,"Christian Books, Bibles, Churches, Church Leadership",Lamplighter Books,495.0,15.66,1986.0,0310250811
metabooks_50070,Texaco: A Novel,Val Vinokur,4.4,46,English,"Literature, Fiction, Genre Fiction",Vintage,416.0,11.69,1998.0,0679751750
metabooks_50119,Neurotica: A Novel,Sue Margolis,3.7,60,English,"Literature, Fiction, Genre Fiction",Delta,336.0,6.5,,0385337574
metabooks_50245,Puppies Are Like That,Jan Lööf,4.6,88,English,"Children's Books, Animals",Random House Books For Young Readers,24.0,35.68,1983.0,0394861558
metabooks_50655,Practical Magic,Alice Hoffman,4.4,12528,English,"Literature, Fiction, Genre Fiction",Berkley,286.0,14.69,,0425190374
metabooks_50672,Deadly Decisions,Kathy Reichs,4.4,3210,English,"Mystery, Thriller, Suspense, Mystery",Scribner,333.0,14.73,2000.0,0684859718
metabooks_50781,Weight Watchers' Quick Success Program Cookbook,Jean Nidetch,4.3,161,English,"Health, Fitness, Dieting, Diets, Weight Loss",New American Library,440.0,,1989.0,0453010164
metabooks_51598,"The Initiation (The Secret Circle, Vol. 1)",L. J. Smith,4.7,59,English,"Children's Books, Science Fiction, Fantasy",Harpercollins,320.0,,1992.0,0061067121
metabooks_52377,Black Milk,Robert Reed,4.0,32,English,"Literature, Fiction, Genre Fiction",Spectra,272.0,23.22,1991.0,0553288768
metabooks_52542,The Phantom of the Opera (Puffin Classics),Gaston Leroux,4.4,7320,English,"Literature, Fiction, Genre Fiction",Puffin Books,322.0,4.95,,0140368132
metabooks_52557,Last Man Standing,David Baldacci,4.3,10342,English,"Literature, Fiction, Genre Fiction",Warner Books,560.0,17.61,2001.0,044667883X
metabooks_52777,The Princes of Ireland: The Dublin Saga,Edward Rutherfurd,4.3,1840,English,"Literature, Fiction, Genre Fiction",Doubleday,776.0,21.33,,0385502869
metabooks_52844,Incarnate,Jodi Meadows,4.2,597,English,"Teen, Young Adult, Literature, Fiction",Katherine Tegen Books,384.0,18.0,,0062060759
metabooks_53075,"Love, Lords, and Lady-Birds",Barbara Cartland,4.3,5,English,"Literature, Fiction",E P Dutton,165.0,3.95,,0525149201
