id,title,author,publish_year,publisher,isbn_clean
amazon_6340,"Roll of Thunder, Hear My Cry",Mildred D. Taylor,1991,Puffin Books,014034893X
amazon_6385,Cannery Row (Twentieth-Century Classics),John Steinbeck,1994,Penguin Books,0140187375
amazon_6432,Dead Until Dark (Southern Vampire Mysteries),Charlaine Harris,2001,Ace Books,0441008534
amazon_6605,Phantom Feast,Diana Barron,2001,"Barclay Books, LLC",1931402213
amazon_6751,"Bless Me, Ultima",Rudolfo Anaya,1999,Warner Books,0446675369
amazon_6773,The Soul of Your Pet: Evidence for the Survival of Animals After Death,Scott S. Smith,1998,Holmes Publishing Group,1558184023
amazon_6833,ICEFIRE,Judith Reeves-Stevens,1998,Atria,0671014021
amazon_6864,Stranger in the Forest: On Foot Across Borneo (Vintage Departures),Eric Hansen,2000,Vintage Books USA,0375724958
amazon_6876,Stan and Ollie: The Roots of Comedy: The Double Life of Laurel and Hardy,Simon Louvish,2002,Thomas Dunne Books,0312266510
amazon_6883,Straight Man : A Novel (Vintage Contemporaries),Richard Russo,1998,Vintage,0375701907
amazon_6922,Legacies: A Chinese Mosaic,Bette Bao Lord,1990,Random House Inc,0394583256
amazon_6981,The Twentieth Wife: A Novel,Indu Sundaresan,2003,Washington Square Press,0743428188
amazon_7005,Unnatural Exposure,Patricia Daniels Cornwell,1997,Putnam Pub Group,0399142851
amazon_7065,Still Waters,Tami Hoag,1992,Bantam,0553292722
amazon_7139,The Christmas Box (Christmas Box Trilogy),Richard Paul Evans,1993,Pubs Wholesale,1566840287
amazon_7261,Treasures,Belva Plain,1993,Dell,0440214009
amazon_7301,The Door into Summer,Robert A. Heinlein,1997,Del Rey Books,0345413997
amazon_7374,The Unlikely Ones,Mary Brown,1999,Baen,0671578448
amazon_7489,Horse Heaven,Jane Smiley,2003,Ballantine Books,0804119430
amazon_7591,A Caress of Twilight (Meredith Gentry Novels (Hardcover)),Laurell K. Hamilton,2002,Ballantine Books,0345435273
amazon_7737,The Awakening,Kate Chopin,1985,Bantam,055321330X
amazon_7744,What Was Good About Today,Carol Kruckeberg,1986,Bantam Books (Mm),0440194253
amazon_7788,Lord of My Heart,Jo Beverley,2002,Signet Book,0451206428
amazon_7795,On a Wild Night (Cynster Novels),Stephanie Laurens,2002,Avon,0380812037
amazon_7862,When the Wind Blows,James Patterson,1999,Warner Vision,0446607657
amazon_7961,"All Chalked Up (Powerpuff Girls Chapter Book, 2)",Amy Keating Rogers,2000,Volo Paperbacks,0439160200
amazon_7990,"The Meeting Place (Song of Acadia, 1)",Janette Oke,1999,Bethany House Publishers,0764221760
amazon_8002,Dan Leno Limehouse Golem Cook Pro,Peter Ackroyd,1997,Vintage,0749385359
amazon_8109,Dr. Atkins' New Diet Revolution,Robert C. Atkins,2001,Avon Books,006001203X
amazon_8146,Killjoy,Julie Garwood,2003,Ballantine Books,0345453816
amazon_8371,Snowfall,Sharon Sala,2001,Mira,1551668440
amazon_8380,The Face of Deception,Iris Johansen,1999,Bantam Books,0553578022
amazon_8590,The Marriage Arrangement,Helen Bianchin,2001,Harlequin,0373121873
amazon_8597,"Witches , The",Roald Dahl,1997,Scholastic Inc.,0590032496
amazon_8623,Girlfriend in a Coma,Douglas Coupland,1999,Regan Books,0060987324
amazon_8692,The Romance of Tristan and Iseult (Vintage Classics),Joseph Bedier,1994,Vintage Books USA,0679750169
amazon_8796,The Power of One,Bryce Courtenay,1989,Smithmark Pub,0394575202
amazon_8907,Till Death Do Us Part,Lurlene Mcdaniel,1997,Starfire,0553570854
amazon_8987,The Wedding,Nicholas Sparks,2003,Warner Books,0446532452
amazon_9109,The Good Women of China : Hidden Voices,Xinran Xue,2003,Anchor,1400030803
amazon_9134,Tell Me Lies (Tell Me Lies),Jennifer Crusie,1999,St. Martin's Press,0312966806
amazon_9156,The Chocolate Bear Burglary: A Chocoholic Mystery (Chocoholic Mysteries),Joanna Carl,2002,Signet Book,0451207475
amazon_9288,The Book of Daniel: A Novel,E. L. Doctorow,1996,Plume Books,0452275660
amazon_9351,The Bay of Angels,Anita Brookner,2001,Random House,0375505822
amazon_9355,Crossing Over,John Edward,2001,John Edward (HAYLO),1588720020
amazon_9460,A Rose For Her Grave &amp; Other True Cases (Ann Rule's Crime Files),Ann Rule,1993,Pocket,0671793535
amazon_9462,You Belong to Me and Other True Cases (Ann Rule's Crime Files: Vol. 2),Ann Rule,1994,Pocket,0671793543
amazon_9463,"A Rage To Kill and Other True Cases : Anne Rule's Crime Files, Vol. 6 (Ann Rule's Crime Files)",Ann Rule,1999,Pocket,0671025341
amazon_9478,The Thin Man (Vintage Crime/Black Lizard),Dashiell Hammett,1992,Vintage Books USA,0679722637
amazon_9519,World's Fair,E. L. Doctorow,1985,Random House Inc,0394525280
amazon_9711,Lord Peter views the body,Dorothy L Sayers,1974,New English Library,0450017095
amazon_9838,Competitions : Book Two of The Blending (Competitions),Sharon Green,1997,Eos,0380784157
amazon_9892,e,Matt Beaumont,2000,Plume Books,0452281881
amazon_10051,Paper Bag Princess (Munsch for Kids),Robert Munsch,1980,Annick Press,0920236162
amazon_10077,Thief of Time,Terry Pratchett,2002,HarperTorch,0061031321
amazon_10134,Texaco,Patrick Chamoiseau,1998,Vintage Books USA,0679751750
amazon_10450,Chobits (Chobits),Clamp,2003,TokyoPop,1591822572
amazon_10505,A Fine Balance,Rohinton Mistry,2001,Vintage Books USA,140003065X
amazon_10518,"The Boxcar Children (Boxcar Children, No 1)",Gertrude Chandler Warner,1989,Albert Whitman &amp; Company,0807508527
amazon_10579,Lost Nation,Jeffrey Lent,2002,Grove Press,0871138433
amazon_10641,Wilt,Tom Sharpe,1978,Pan Books in association with Secker &amp; Warburg,0330253603
amazon_10772,The Blessing Stone,Barbara Wood,2004,St. Martin's Griffin,0312320248
amazon_11019,When He Was Wicked (Bridgerton Family Series),Julia Quinn,2004,Avon,0060531231
amazon_11030,The Dark Highlander,Karen Marie Moning,2002,Dell Publishing Company,0440237556
amazon_11242,The Dark Is Rising (Dark is Rising (Hardcover)),Susan Cooper,1973,Margaret K. McElderry,0689303173
amazon_11305,It's Not About the Bike: My Journey Back to Life,Lance Armstrong,2000,Penguin Putnam,0399146113
amazon_11347,The Intruder,Melinda Metz,2000,Simon Spotlight Entertainment,067177459X
amazon_11362,Love and War,John Jakes,1985,Dell Publishing Company,0440150167
amazon_11390,Silver,Norma Fox Mazer,1989,HarperTrophy,0380750260
amazon_11665,The Life of God: As Told by Himself,Franco Ferrucci,1997,University of Chicago Press,0226244962
amazon_11685,Remembering Blue,Connie May Fowler,2000,Doubleday Books,038549842X
amazon_11692,Disclosure,Michael Crichton,1994,Alfred A. Knopf,0679419454
amazon_11794,"I, Robot (Bantam Spectra Book)",Isaac Asimov,2004,Bantam,0553803700
amazon_11907,The Drowning People,Richard Mason,2000,Warner Vision,0446608009
amazon_12094,Special Ops (Brotherhood of War),W. E. B. Griffin,2002,Jove Books,0515132489
amazon_12300,Whispers,Lisa Jackson,2003,Kensington Publishing Corporation,0821776037
amazon_12352,The Pugilist at Rest : Stories,Thom Jones,1994,Back Bay Books,0316473049
amazon_12387,The Long Road Home,Danielle Steel,1998,Delacorte Press,0385319568
amazon_12399,Spindle's End,Robin Mckinley,2001,Ace Books,0441008658
amazon_12422,The Flame and the Flower,Kathleen E. Woodiwiss,1972,Avon,0380005255
amazon_12475,Paradise,Toni Morrison,1999,Plume Books,0452280397
amazon_12818,"That Was Then, This Is Now",S. E. Hinton,1998,Penguin Putnam Books for Young Readers,0140389660
amazon_12820,Sticky Situations: 365 Devotions for Kids and Families,Betsy Schmitt,1997,Tyndale Kids,0842365508
amazon_12993,The Book: On the Taboo Against Knowing Who You Are,Alan Watts,1989,Vintage Books USA,0679723005
amazon_13162,Thomas the Rhymer,Ellen Kushner,2004,Bantam,0553586971
amazon_13178,The Cobra Event,Richard Preston,1998,Ballantine Books,0345409973
amazon_13201,Sushi for Beginners,Marian Keyes,2004,HarperTorch,0060557257
amazon_13259,To the Summit (An Avon Flare Book),Claire Rudolf Murphy,1998,HarperTrophy,038079537X
amazon_13315,Escape,James Clavell,1999,Coronet Books &amp; Publications,0340654163
amazon_13382,Bliss,Lynsay Sands,2001,Leisure Books,0843949090
amazon_13463,The Magnificent Ambersons (The Modern Library Classics),Booth Tarkington,1998,Modern Library,0375752501
amazon_13688,The Right Hand of Evil,John Saul,1999,Ballantine Books,0345433165
amazon_13843,The Resort,Sol Stein,1980,Harpercollins,0688035418
amazon_14066,The Locket,Richard Paul Evans,2000,Pocket,0671004239
amazon_14119,White Death: A Novel from the Numa Files,Clive Cussler,2003,Putnam Publishing Group,0399150412
amazon_14230,The Tin Can Tree : A Novel (1st Ballantine Books Trade ed),Anne Tyler,1996,Ballantine Books,0449911896
amazon_14529,Mastering Computer Typing : A Painless Course for Beginners and Professionals,Sheryl Lindsell-Roberts,1995,Houghton Mifflin,0395714060
amazon_14580,Eleventh Hour: An FBI Thriller,Catherine Coulter,2002,Putnam Publishing Group,0399148779
amazon_14613,Naked in Death,J. D. Robb,2004,Berkley Publishing Group,0425148297
amazon_14625,"Sea of Fire (Op-Center Series, Volume 10)",Jeff Rovin,2003,Berkley Publishing Group,0425190919
amazon_14630,Daring to Dream,Nora Roberts,1996,Jove Books,0515119202
amazon_14748,RESTAURNT END UNIV,Douglas Adams,1988,Pocket,0671664948
amazon_14757,Tuck Everlasting,Natalie Babbitt,2002,Sunburst,0374480133
amazon_14802,Original Sin,Phyllis White,1996,Warner Books,0446602345
amazon_14847,Devil to Pay,Stephanie James,1999,Harlequin Sales Corp,0373806841
amazon_14851,Master of Desire,Kinley Macgregor,2001,Avon,0061087130
amazon_14971,A Pinch of Snuff,Reginald Hill,1990,Dell Publishing Company,0440169127
amazon_15056,"Secret History, The",Donna Tartt,1992,Knopf,0679410325
amazon_15187,Weirdos From Another Planet!,Bill Watterson,1990,Andrews McMeel Publishing,0836218620
amazon_15244,A Great Deliverance,Elizabeth George,1989,Bantam Books,0553278029
amazon_15265,You Are Not a Stranger Here : Stories,Adam Haslett,2003,Anchor,0385720726
amazon_15269,"Mariel of Redwall (Redwall, Book 4)",Brian Jacques,1999,Avon,0380719223
amazon_15372,Missing Joseph,Elizabeth George,1994,Bantam Books,0553566040
amazon_15519,"Dune Messiah (Dune Chronicles, Book 2)",Frank Herbert,1994,ACE Charter,0441172695
amazon_15570,Silver on the Tree,Susan Cooper,1987,Simon Pulse,0689711522
amazon_15593,"Speaks the Nightbird, Volume I : Judgment of the Witch",Robert Mccammon,2003,Pocket Books,0743474325
amazon_15600,Touching Evil,Kay Hooper,2001,Bantam Books,0553583441
amazon_15847,Dirt Music : A Novel,Tim Winton,2003,Scribner,0743228480
amazon_15868,Touching the Void: The True Story of One Man's Miraculous Survival,Joe Simpson,2004,Perennial Currents,0060730552
amazon_15977,The Beloved Scoundrel,Iris Johansen,1994,Bantam,055329945X
amazon_16025,Ogilvy on Advertising,David Ogilvy,1987,Vintage Books USA,039472903X
amazon_16136,"Oathbreakers (Vows and Honor, Book 2)",Mercedes Lackey,1995,Daw Books,0886774543
amazon_16202,The Girlfriends' Guide to Pregnancy,Vicki Iovine,1995,Pocket,0671524313
amazon_16293,The Wild Road,Gabriel King,1999,Del Rey Books,0345423038
amazon_16325,Dead and Buried,Chelsea Quinn Yarbro,0,Warner Books> C/o Little Br,0446912689
amazon_16560,Famine,Graham Masterson,1981,Berkley Pub Group (Mm),0441227449
amazon_16637,Talking God (Jim Chee Novels),Tony Hillerman,1991,HarperTorch,006109918X
amazon_17149,Girl Cook: A Novel,Hannah Mccouch,2003,Villard Books,1400060427
amazon_17193,The Blue Castle,L.M. Montgomery,1989,Starfire,0553280511
amazon_17366,Who Will Tell The People? : The Betrayal Of American Democracy,William Greider,1993,Simon &amp; Schuster,0671867407
amazon_17441,"Come and Go, Molly Snow",Mary Ann Taylor-Hall,1996,Harpercollins,0380727021
amazon_17493,"A Common Life: The Wedding Story (Beloved Mitford, No. 6)",Jan Karon,2002,Viking Books,0142000345
amazon_17494,Colorado Wings: Four Inspirational Love Stories With a Dash of Intrigue (Inspirational Romance Collections),Tracie Peterson,2000,Barbour Bargain Books,1577488288
amazon_17546,From the Claws of the Dragon: A Story of Deliverance from the Chinese Red Guards,Carroll Ferguson Hunt,1988,Zondervan,0310515114
amazon_17578,The Coffin Quilt: The Feud between the Hatfields and the McCoys,Ann Rinaldi,2001,Gulliver Books Paperbacks,0152164502
amazon_17867,"The Ear, the Eye and the Arm",Nancy Farmer,2002,Penguin Putnam Books for Young Readers,0141311096
amazon_17944,Love in the Ruins,Walker Percy,1999,Picador USA,0312243111
amazon_18333,The Dream Cycle of H.P. Lovecraft: Dreams of Terror and Death,H. P. Lovecraft,1995,Del Rey Books,0345384210
amazon_18350,The Last Lighthouse Keeper,Alan Titchmarsh,2000,Simon &amp; Schuster (Trade Division),0671015850
amazon_18538,Tender at the Bone: Growing Up at the Table,Ruth Reichl,1999,Broadway Books,0767903382
amazon_18602,The FALL OF A SPARROW: A NOVEL,Robert Hellenga,1999,Scribner,0684850273
amazon_18690,Before Women Had Wings,Connie May Fowler,1999,Ivy Books,0804118906
amazon_18906,My Side of the Mountain,Jean Craighead George,1988,Scholastic,0590981811
amazon_18988,Tommy visits the doctor (A little golden book),Jean Hortense Seligmann,1962,Western Pub. Co,0307021742
amazon_18989,The secret city under the sea (Disney's duck tales),Paul S Newman,1988,Golden Book,030701021X
amazon_18993,Disney's Sorcerer's Apprentice/Fantasia (Little Golden Book),Golden Books,1995,Golden Books,0307302024
amazon_19367,The SECRET OF THE BULLS,Jose Bernardo,1997,Simon &amp; Schuster,0684831376
amazon_19692,The Virgin and the Gypsy,D. H. Lawrence,1992,Vintage Books USA,0679740775
amazon_19763,Leaving Home,Garrison Keillor,1992,Penguin Books,0140131604
amazon_19849,Comfort Me with Apples: More Adventures at the Table,Ruth Reichl,2001,Random House,0375501959
amazon_19917,Almost Like Being in Love : A Novel,Steve Kluger,2004,Perennial,0060595833
amazon_20019,Rosemary's Baby,Ira Levin,1997,Signet Book,0451194004
amazon_20041,Beneath the Skin,Nicci French,2000,Mysterious Press,0892967269
amazon_20066,The Kiss,Kathryn Harrison,1998,William Morrow,0380731479
amazon_20125,Heartbeat,Danielle Steel,1991,Delacorte Press,0385299087
amazon_20406,"Revenge Of The Barbeque Queens : At The Barbeque World Series, More Than Ribs Will Be Swimming In Sauce (A Heaven Lee Culinary Mystery)",Lou Jane Temple,1997,St. Martin's Paperbacks,0312960743
amazon_20421,The Quest of the Missing Map (Nancy Drew (Hardcover)),Carolyn Keene,1969,Grosset &amp; Dunlap,044809519X
amazon_20532,Mrs. Jeffries Pinches the Post,Emily Brightwell,2001,Berkley Publishing Group,0425180042
amazon_20747,The White Dragon (Dragonriders of Pern Vol 3),Anne Mccaffrey,1986,Del Rey,0345341678
amazon_20820,Piranha to Scurfy: And Other Stories,Ruth Rendell,2001,Crown Publishing Group (NY),0609608533
amazon_20876,Civil Disobedience and Other Essays (Dover Thrift Editions),Henry David Thoreau,1993,Dover Publications,0486275639
amazon_20954,2001 A Space Odyssey,Arthur C. Clarke,1993,Roc,0451452739
amazon_21046,To Trust a Stranger,Karen Robards,2002,Pocket Star,0671786601
amazon_21145,Life Is So Good,George Dawson,2001,Penguin Books,0141001682
amazon_21203,Born in Shame,Nora Roberts,1996,Jove Books,051511779X
amazon_21250,April Morning,Howard Fast,1983,Bantam,0553273221
amazon_21328,Witching Moon (Berkley Sensation),Rebecca York,2003,Berkley Publishing Group,0425192784
amazon_21369,The Horse Whisperer,Nicholas Evans,1995,Delacorte Press,0385315236
amazon_21403,Sole Survivor,Dean Koontz,1997,Ballantine Books,0345384377
amazon_21426,The Day of the Jackal,Frederick Forsyth,1982,Bantam Books,0553266306
amazon_21476,On Becoming a Novelist,John Gardner,1999,W.W. Norton &amp; Company,0393320030
amazon_21594,Autobiography of a Face,Lucy Grealy,2003,Perennial,0060569662
amazon_21753,When We Were Very Young,A.A. Milne,1988,Dutton Books,0525444459
amazon_21966,"Bicycle Mystery (Boxcar Children, No 15)",Gertrude Chandler Warner,1990,Albert Whitman &amp; Company,0807507091
amazon_22184,The Doors of Perception and Heaven and Hell,Aldous Huxley,1990,Perennial,0060900075
amazon_22310,Spaceballs: The Book,Jovial Bob Stine,1987,Scholastic Paperbacks (Mm),0590412264
amazon_22327,Darkover Landfall (Darkover),Marion Zimmer Bradley,1983,Daw Books,0886772346
amazon_22383,"Luck in the Shadows (Nightrunner, Vol. 1)",Lynn Flewelling,1996,Spectra,0553575422
amazon_22392,Paneb the Ardent,Christian Jacq,2001,Atria,0743403487
amazon_22433,"So Long, and Thanks for all the Fish",Douglas Adams,1984,Random House Value Pub,0517554399
amazon_22462,The Conscious Bride: Women Unveil Their True Feelings About Getting Hitched (Women Talk About),Sheryl Paul,2000,New Harbinger Publications,1572242132
amazon_22616,Of Mice and Men/Cannery Row (2 Books in 1),John Steinbeck,1986,Penguin USA,014004891X
amazon_22729,GTO #1,Tohru Fujisawa,2002,Tokyopop,1931514933
amazon_22850,"Pharaoh (Kleopatra, Volume II)",Karen Essex,2002,Warner Books,0446530255
amazon_22921,Shattered,Dick Francis,2000,Putnam Publishing Group,0399146601
amazon_23169,Chucaro: Wild Pony of the Pampa (The Newbery honor roll),Francis Kalnay,1993,Walker &amp; Company,0802773877
amazon_23456,"Murder, Inc.: The Story of the Syndicate (Quality Paperbacks Series)",Burton B. Turkus,1992,Da Capo Press,0306804751
amazon_23541,A Brilliant Madness: Living With Manic-Depressive Illness,Patty Duke,1993,Bantam Books,0553560727
amazon_23699,Swept Away,Marsha Canham,1999,Dell Publishing Company,0440235219
amazon_23747,Rebel (Florida Civil War (Paperback)),Heather Graham,1997,Topaz,0451406893
amazon_23950,Thunder Point,Jack Higgins,1994,Berkley Publishing Group,0425143570
amazon_24017,The Secret,Julie Garwood,1992,Pocket,0671744216
amazon_24095,"The Intelligence of Dogs: A Guide to the Thoughts, Emotions, and Inner Lives of Our Canine Companions",Stanley Coren,1995,Bantam,0553374524
amazon_24193,Family Celebrations for Christmas,Ann Hibbard,1993,Baker Book House,0801010705
amazon_24256,"Brown Bear, Brown Bear, What Do You See?",Bill Martin Jr.,1996,Henry Holt and Co. (BYR),0805047905
amazon_24316,As Sure as the Dawn (Mark of the Lion #3),Francine Rivers,1998,Tyndale House Publishers,0842339760
amazon_24479,"Fortune's Light (Star Trek The Next Generation, No 15)",Michael Jan Friedman,1991,Star Trek,0671708368
amazon_24614,Diary of a Mad Housewife,Sue Kaufman,2002,Serpents Tail,1852426411
amazon_24649,Karate Kid,B. B. Hiller,1984,Scholastic,0590333062
amazon_24812,Surprise Party,William Katz,1985,Warner Books,0446327786
amazon_24867,"Gateway to the Gods (Everworld, 7)",K. A. Applegate,2000,Scholastic,0590877666
amazon_25116,Magic Cup -OSI,Andrew M. Greeley,1985,Warner Books,0446324388
amazon_25270,Snow Dog,Jim Kjelgaard,1983,Skylark,0553155601
amazon_25572,Heavy sand,Anatolii Naumovich Rybakov,1981,Viking Press,0670364991
amazon_25583,Lie Down in Roses,Shannon Drake,1995,Zebra Books,0821747940
amazon_25597,Defy Not The Heart,Johanna Lindsey,1989,Avon,0380752999
amazon_25604,Man of My Dreams (Sherring Cross (Paperback)),Johanna Lindsey,1992,Avon,0380756269
amazon_25916,Blue Skies,Catherine Anderson,2004,Signet Book,0451210751
amazon_25945,Into the Woods,V.C. Andrews,2002,Pocket,0743428595
amazon_25988,Angel,Johanna Lindsey,1992,Avon,0380756285
amazon_26062,Run,Douglas E. Winter,2001,Signet Book,0451409809
amazon_26160,Violin,Anne Rice,1999,Ballantine Books,0345425308
amazon_26161,The Enchanted Astrologer: Your Personal Oracle,Monte Farber,2001,Thomas Dunne Books,0312251734
amazon_26196,The Blackstone Chronicles (Blackstone Chronicles),John Saul,1998,Ballantine Books,044900192X
amazon_26593,Untamed,Elizabeth Lowell,1993,Avon,0380769530
amazon_26625,Cherish,Catherine Anderson,1998,Avon,0380799367
amazon_26667,A History of the World in 10 1/2 Chapters (Vintage International),Julian Barnes,1990,Vintage Books USA,0679731377
amazon_26813,Embassy Row: A Mycroft Holmes Novel (Mycroft Holmes Novels (Paperback)),Quinn Fawcett,1999,Tor Books,0812545222
amazon_26844,Thorns of Truth,Eileen Goudge,1998,Penguin USA,0670879428
amazon_26887,Honor Bound (Honor Bound (Paperback)),W. E. B. Griffin,1994,Jove Books,0515114863
amazon_27063,Prince of Darkness,Barbara Michaels,1996,Berkley Publishing Group,0425108538
amazon_27167,"The Price of Loyalty: George W. Bush, the White House, and the Education of Paul O'Neill",Ron Suskind,2004,Simon &amp; Schuster,0743255453
amazon_27405,"Wraith Squadron (Star Wars: X-Wing Series, Book 5)",Aaron Allston,1998,Spectra Books,0553578944
amazon_27530,Thoughts Without a Thinker: Psychotherapy from a Buddhist Perspective,Mark Epstein,1995,Perseus Books Group,0465039316
amazon_27790,Psycho II: Connie Ha,Robert,1982,Warner Books,0446908045
amazon_27871,Communion : A True Story,Whitley Strieber,1988,Avon,0380703882
amazon_28023,Thunder and Lightning : Cracking Open the Writer's Craft,Natalie Goldberg,2001,Bantam,0553374966
amazon_28056,Law School Confidential : A Complete Guide to the Law School Experience,Robert H. Miller,2000,St. Martin's Griffin,031224309X
