label,pair,score,bucket,rule,geo_m,sim_name,sim_cat,id_a,id_b,kaggle380k_id_a,uber_eats_id_b,source_a,source_b,name_a,name_b,name_norm_a,name_norm_b,address_line1_a,address_line1_b,street_a,street_b,house_number_a,house_number_b,city_a,city_b,state_a,state_b,postal_code_a,postal_code_b,latitude_a,latitude_b,longitude_a,longitude_b,categories_a,categories_b,phone_e164_a,phone_e164_b,phone_raw_a,phone_raw_b
,df1_vs_df2,0.7850020131699113,high,geo,37.5,1.0,0.0,kaggle380k-087348,uber_eats-15930,,,kaggle_380k,uber_eats,Castilla Restaurant and Tapas Bar,Castilla Restaurant and Tapas Bar,castilla restaurant and tapas bar,castilla restaurant and tapas bar,,,Bellevue Square,,504,504,Bellevue,Bellevue,WA,WA,98004,98004,47.6165048,47.61684,-122.2019644,-122.20191,['Restaurant' 'Takeout restaurant' 'Small plates restaurant' 'Tapas bar'],['Spanish' 'Seafood' 'Mediterranean'],,,,
,df1_vs_df2,0.7857623724188952,high,geo,35.6,1.0,0.0,kaggle380k-239830,uber_eats-18656,,,kaggle_380k,uber_eats,Spice Palace Indian Restaurant,Spice Palace Indian Restaurant,spice palace indian restaurant,spice palace indian restaurant,,,John Tyler Hwy,John Tyler Hwy 20,5251,5251,Williamsburg,Williamsburg,VA,,23188,23185,37.2577505,37.25793,-76.740143,-76.73981,['Indian restaurant'],['Indian' 'Vegetarian' 'Asian' 'Allergy Friendly' 'Healthy'],,,,
,df1_vs_df2,0.4539760812051912,high,geo,31.7,0.16666666666666666,0.0,kaggle380k-323324,uber_eats-58414,,,kaggle_380k,uber_eats,Hydrate,Lone Star Kolaches (Georgetown),hydrate,lone star kolaches georgetown,,,Williams Dr,Williams Drive,2502C,2500,Georgetown,Georgetown,TX,TX,78628,78628,30.6598361,30.6596407,-97.6898089,-97.6895672,"['Juice shop' 'Gluten-free restaurant' 'Health food restaurant'
 'Sandwich shop' 'Vegan restaurant']",['Breakfast and Brunch' 'American' 'Sandwiches'],,,,
,df1_vs_df2,0.6202296419492292,high,geo,1.2,0.5517241379310345,0.0,kaggle380k-271576,uber_eats-25530,,,kaggle_380k,uber_eats,Carrabba's Italian Grill,Carrabba's (1217 N Battlefield Blvd),carrabba s italian grill,carrabba s 1217 n battlefield blvd,,,N Battlefield Blvd,Battlefield Blvd N,1217,1217,Chesapeake,Chesapeake,VA,VA,23320,23320,36.7629204,36.7629157,-76.2504824,-76.2504709,"['Italian restaurant' 'American restaurant' 'Bar' 'Bar & grill' 'Caterer'
 'Gluten-free restaurant' 'Takeout restaurant' 'Restaurant' 'Wine bar']",['Italian' 'Family Meals'],,,,
,df1_vs_df2,0.5142857142857143,high,geo,0.0,0.2857142857142857,0.0,kaggle380k-147260,uber_eats-31683,,,kaggle_380k,uber_eats,KFC,KFC (737 North Main),kfc,kfc 737 north main,,,N Main St,North Main,737,737,Tooele,Tooele,UT,UT,84074,84074,40.5456608,40.5456608,-112.2987048,-112.2987048,['Chicken restaurant' 'Fast food restaurant'],['American' 'Fast Food' 'wings' 'Family Meals'],,,,
,df1_vs_df2,0.45775457340716275,high,geo,6.6,0.1509433962264151,0.0,kaggle380k-135686,uber_eats-62181,,,kaggle_380k,uber_eats,"Filipino Cuisine Odessa- ""The House of Sizzlers""",chilango,filipino cuisine odessa the house of sizzlers,chilango,,,E 8th St,E 8th St,1351,1349,Odessa,Odessa,TX,TX,79761,79761,31.8598062,31.85982,-102.3557425,-102.35581,['Filipino restaurant' 'Asian fusion restaurant'],['Black-owned' 'Mexican' 'Latin American' 'New Mexican' 'Allergy Friendly'],,,,
,df1_vs_df2,0.5649709883764517,high,geo,11.8,0.42424242424242425,0.0,kaggle380k-135716,uber_eats-62119,,,kaggle_380k,uber_eats,Abuelaâ€™s Kitchen,La Fusion Nights,abuelaâ s kitchen,la fusion nights,,,N Grandview Ave,North Grandview Avenue,947,947,Odessa,Odessa,TX,TX,79761,79761,31.8630849,31.86318,-102.3471258,-102.34707,['Mexican restaurant'],['Mexican' 'Latin American' 'New Mexican'],,,,
,df1_vs_df2,0.4354190181420325,high,geo,29.1,0.11764705882352941,0.0,kaggle380k-132615,uber_eats-48841,,,kaggle_380k,uber_eats,Thirsty Lion Gastropub,Macs &amp; Stacks (Music Factory),thirsty lion gastropub,macs amp stacks music factory,,,W Las Colinas Blvd.,W. Las Colinas Blvd.,350,360,Irving,Irving,TX,TX,75039,75039,32.8753687,32.87516,-96.943938,-96.94375,['Gastropub'],['American' 'Burgers' 'Comfort Food' 'Pasta' 'Sandwich'],,,,
,df1_vs_df2,0.4139806804289257,high,geo,34.0,0.06896551724137931,0.0,kaggle380k-132430,uber_eats-54848,,,kaggle_380k,uber_eats,Sambuca,Minuti Coffee - Texas St.,sambuca,minuti coffee texas st,,,Texas Ave,Texas Ave,909,909,Houston,Houston,TX,TX,77002,77002,29.760548,29.7606081,-95.3631163,-95.3627708,"['American restaurant' 'Banquet hall' 'Bar' 'Event venue'
 'Live music venue' 'New American restaurant' 'Restaurant']",['Coffee and Tea' 'American' 'Breakfast and Brunch'],,,,
,df1_vs_df2,0.47124259758887743,high,geo,12.4,0.19047619047619047,0.0,kaggle380k-102390,uber_eats-18321,,,kaggle_380k,uber_eats,&pizza - Woodbridge,Chipotle Mexican Grill (2457 Prince William Pkwy),pizza woodbridge,chipotle mexican grill 2457 prince william pkwy,,,Prince William Pkwy,Prince William Pkwy,2453,2457,Woodbridge,Woodbridge,VA,VA,22192,22192,38.6528596,38.6527697,-77.2860162,-77.2861001,['Pizza restaurant' 'Vegan restaurant' 'Vegetarian restaurant'],['Healthy' 'Mexican'],,,,
,df1_vs_df2,0.7964477888935662,high,geo,8.9,1.0,0.0,kaggle380k-320986,uber_eats-04244,,,kaggle_380k,uber_eats,Big Daddy's,Big Daddy's,big daddy s,big daddy s,,,W Davenport St,West Davenport Street,21,21,Rhinelander,Rhinelander,WI,WI,54501,54501,45.6376494,45.63757,-89.4117877,-89.4118,['American restaurant'],['Burgers' 'American' 'Sandwiches'],,,,
,df1_vs_df2,0.45675906826039187,high,geo,8.1,0.15,0.0,kaggle380k-042119,uber_eats-01759,,,kaggle_380k,uber_eats,Firebelly Wings,Outlaw Burger (340 High St),firebelly wings,outlaw burger 340 high st,,,High St,High St.,340,340,Brookfield,Brookfield,WI,WI,53045,53045,43.0350077,43.03508,-88.1634424,-88.16343,['Meal delivery' 'Chicken wings restaurant' 'Restaurant'],['American' 'Burgers' 'Sandwiches'],,,,
,df1_vs_df2,0.6558220114791034,high,geo,7.5,0.6470588235294118,0.0,kaggle380k-042110,uber_eats-04928,,,kaggle_380k,uber_eats,Chipotle Mexican Grill,Chipotle Mexican Grill (3705 N 124Th St Ste 200),chipotle mexican grill,chipotle mexican grill 3705 n 124th st ste 200,,,N 124th St,N 124Th St,3705,3705,Brookfield,Brookfield,WI,WI,53005,53005,43.0856168,43.0856752,-88.0667557,-88.066802,['Mexican restaurant' 'Caterer' 'Fast food restaurant'],['Healthy' 'Mexican'],,,,
,df1_vs_df2,0.5002846208746988,high,geo,28.4,0.27906976744186046,0.0,kaggle380k-280237,uber_eats-61452,,,kaggle_380k,uber_eats,Little Caesars Pizza,2 Javelinas Draft House,little caesars pizza,2 javelinas draft house,,,S Eddy St,South Eddy Street,712,724,Pecos,Pecos,TX,TX,79772,79772,31.4182025,31.41795,-103.501932,-103.50189,"['Pizza restaurant' 'Fast food restaurant' 'Pizza delivery'
 'Pizza takeaway']",['American' 'Burgers' 'Sandwiches'],,,,
,df1_vs_df2,0.42180324378229905,high,geo,23.9,0.0784313725490196,0.0,kaggle380k-212473,uber_eats-03358,,,kaggle_380k,uber_eats,Naf Naf Grill,Potbelly Sandwich Shop (564 State St | 34),naf naf grill,potbelly sandwich shop 564 state st 34,,,State St,State St,555,564,Madison,Madison,WI,WI,53703,53703,43.07478,43.0749937,-89.3950774,-89.3951115,"['Middle Eastern restaurant' 'Falafel restaurant' 'Fast food restaurant'
 'Mediterranean restaurant' 'Restaurant']",['Sandwiches' 'Drinks' 'Soup'],,,,
,df1_vs_df2,0.7966581948928008,high,geo,8.4,1.0,0.0,kaggle380k-276506,uber_eats-01958,,,kaggle_380k,uber_eats,Merge,Merge,merge,merge,,,E Kenilworth Pl,E Kenilworth Pl,1932,1932,Milwaukee,Milwaukee,,WI,,53202,43.058926,43.0590001,-87.8853122,-87.8852952,['nan'],['Chicken' 'Burgers' 'Sandwich' 'Korean' 'Asian Fusion'],,,,
,df1_vs_df2,0.7989831732708348,high,geo,2.5,1.0,0.0,kaggle380k-170885,uber_eats-56670,,,kaggle_380k,uber_eats,Oriental Garden Restaurant,Oriental Garden Restaurant,oriental garden restaurant,oriental garden restaurant,,,"Ave N B, Denton",N Ave,114,114,,Denton,,TX,,76201,33.215101,33.215122,-97.1481652,-97.148176,['nan'],['Thai' 'Asian' 'Noodles'],,,,
,df1_vs_df2,0.4782071971086407,high,geo,8.6,0.20408163265306123,0.0,kaggle380k-165553,uber_eats-42727,,,kaggle_380k,uber_eats,Rice House Express Waxahachie,Tortilleria La Mejor,rice house express waxahachie,tortilleria la mejor,,,Hwy N 77,Highway North 77,508,508,Waxahachie,Waxahachie,,TX,,75165,32.4085812,32.40862,-96.8418988,-96.84182,['nan'],['Mexican' 'New Mexican'],,,,
,df1_vs_df2,0.7675856736993178,high,geo,1.0,0.92,0.0,kaggle380k-305499,uber_eats-21784,,,kaggle_380k,uber_eats,Sortrel Thai Restaurant & Bar,Sortrel Thai Restaurant,sortrel thai restaurant bar,sortrel thai restaurant,,,Pidgeon Hill Dr,Pidgeon Hill Drive,46,46,Sterling,Countryside,VA,VA,20165,20165,39.0398051,39.03981,-77.4117698,-77.41178,['Thai restaurant' 'Bar'],['Thai' 'Noodles' 'Asian'],,,,
,df1_vs_df2,0.7918266941080769,high,geo,20.4,1.0,0.0,kaggle380k-163477,uber_eats-09096,,,kaggle_380k,uber_eats,So Tasty,So Tasty,so tasty,so tasty,,,NE 8th St,NE 8th St,15920,15920,Bellevue,Bellevue,WA,WA,98008,98008,47.6172784,47.6174477,-122.1279731,-122.1278671,"['Chinese restaurant' 'Bubble tea store' 'Chinese noodle restaurant'
 'Fried chicken takeaway']",['Chinese' 'Asian' 'Desserts'],,,,
,df1_vs_df2,0.7980004217580375,high,geo,5.0,1.0,0.0,kaggle380k-140139,uber_eats-28090,,,kaggle_380k,uber_eats,Guadalajara Mexican Restaurant,Guadalajara Mexican Restaurant,guadalajara mexican restaurant,guadalajara mexican restaurant,,,Fontaine Ave,Fontaine Ave,2206,2206,Charlottesville,Charlottesville,VA,VA,22903,22903,38.025707,38.025695,-78.515753,-78.515808,"['Mexican restaurant' 'Bar' 'Latin American restaurant'
 'Takeout restaurant' 'Restaurant']",['Mexican'],,,,
,df1_vs_df2,0.509918687078105,high,geo,3.0,0.2777777777777778,0.0,kaggle380k-262877,uber_eats-26248,,,kaggle_380k,uber_eats,"Desi Kitchen - Best Indian Restaurants in Newport News, Va, USA",Viking Burger,desi kitchen best indian restaurants in newport news va usa,viking burger,,,Jefferson Ave,Jefferson Ave,11745,11745,Newport News,Newport News,VA,VA,23606,23606,37.0820184,37.081995,-76.4809494,-76.480933,"['Restaurant' 'Family restaurant' 'Fine dining restaurant'
 'Indian restaurant']",['American' 'Burgers' 'Comfort Food'],,,,
,df1_vs_df2,0.5067011447161278,high,geo,44.4,0.3111111111111111,0.0,kaggle380k-148862,uber_eats-07597,,,kaggle_380k,uber_eats,Why Not My Thai Kitchen,Nino's Mexican Grill 2,why not my thai kitchen,nino s mexican grill 2,,,Summitview Ave,Summitview Avenue,4001,4001,Yakima,Yakima,WA,WA,98908,98908,46.6001329,46.60049,-120.5630788,-120.56282,['Restaurant'],['Mexican' 'Latin American' 'New Mexican'],,,,
,df1_vs_df2,0.658360982674256,high,geo,4.1,0.65,0.0,kaggle380k-112762,uber_eats-27494,,,kaggle_380k,uber_eats,"Caspian Kabob (Germantown, MD)",Caspian Kabob,caspian kabob germantown md,caspian kabob,,,Frederick Rd,Frederick Road,19911,19911-c,Germantown,Germantown,MD,MD,20876,20876,39.1827056,39.18274186101888,-77.2380397,-77.2380481660366,"['Persian restaurant' 'Fast food restaurant' 'Kebab shop'
 'Middle Eastern restaurant']",['Middle Eastern' 'Arabian' 'Chicken'],,,,
,df1_vs_df2,0.7908672558093172,high,geo,22.8,1.0,0.0,kaggle380k-145898,uber_eats-29748,,,kaggle_380k,uber_eats,The Med,The Med,the med,the med,,,E 3300 S,E 3300 S,420,420,Salt Lake City,SALT LAKE CITY,UT,UT,84115,84115,40.6995406,40.69973,-111.8796246,-111.87952,"['Mediterranean restaurant' 'Cafe' 'Greek restaurant' 'Italian restaurant'
 'Middle Eastern restaurant' 'Persian restaurant' 'Vegan restaurant']",['Mediterranean' 'Greek' 'Vegetarian'],,,,
,df1_vs_df2,0.6082718207336963,high,geo,1.1,0.5217391304347826,0.0,kaggle380k-261931,uber_eats-20646,,,kaggle_380k,uber_eats,Mid Atlantic Seafood,Vegetarian by Mid Atlantic,mid atlantic seafood,vegetarian by mid atlantic,,,New Hampshire Ave,New Hampshire Ave,6500,6500,Takoma Park,Takoma Park,MD,MD,20912,20912,38.9693968,38.9693881,-77.0006967,-77.0007017,"['Seafood restaurant' 'American restaurant' 'Breakfast restaurant'
 'Chicken restaurant' 'Dessert shop' 'Fast food restaurant'
 'Hamburger restaurant' 'Salad shop' 'Sandwich shop'
 'Soul food restaurant' 'Southern restaurant (US)']",['American' 'Vegetarian' 'Vegetarian Friendly' 'Juice and Smoothies'],,,,
,df1_vs_df2,0.461483102084839,high,geo,20.2,0.17391304347826086,0.0,kaggle380k-145860,uber_eats-29662,,,kaggle_380k,uber_eats,Mr. Shabu,Tucanos Brazilian Grill (Salt Lake City),mr shabu,tucanos brazilian grill salt lake city,,,Rio Grande St,S 400 W,159,162,Salt Lake City,Salt Lake City,UT,UT,84101,84101,40.7658832,40.7658405,-111.9031531,-111.9029199,['Restaurant'],['Steak' 'American' 'Fast Food'],,,,
,df1_vs_df2,0.4274404032465963,high,geo,42.5,0.1111111111111111,0.0,kaggle380k-126942,uber_eats-35021,,,kaggle_380k,uber_eats,Yard House,Macs &amp; Stacks (La Cantera),yard house,macs amp stacks la cantera,,,La Cantera Pkwy,La Cantera Parkway,15900,15900,San Antonio,San Antonio,TX,TX,78256,78256,29.592878,29.5932,-98.610673,-98.61091,"['New American restaurant' 'Bar' 'Bar & grill' 'Gastropub'
 'Takeout restaurant' 'Sports bar' 'Vegetarian restaurant']",['American' 'Burgers' 'Comfort Food' 'Pasta' 'Sandwich'],,,,
,df1_vs_df2,0.4919636913874317,high,geo,2.6,0.23255813953488372,0.0,kaggle380k-102480,uber_eats-18411,,,kaggle_380k,uber_eats,Pholicious,Subway (2700 Potomac Mills Cir # 625),pholicious,subway 2700 potomac mills cir 625,,,Potomac Mills Cir,Potomac Mills Cir,2700,2700,Woodbridge,Woodbridge,VA,VA,22192,22192,38.6433621,38.6433831,-77.2961829,-77.2961973,['Vietnamese restaurant'],['Fast Food' 'Sandwich' 'American'],,,,
,df1_vs_df2,0.5821563617974823,high,geo,22.9,0.4782608695652174,0.0,kaggle380k-165948,uber_eats-60635,,,kaggle_380k,uber_eats,LEI KITCHEN,Lei Kitchen Southeast Asian Cuisine,lei kitchen,lei kitchen southeast asian cuisine,,,Saratoga Blvd,Saratoga Blvd,4037,4037,,Corpus Christi,,TX,,78413,27.6980655,27.69819,-97.4107251,-97.41091,['nan'],['Family Meals' 'Chinese' 'Asian'],,,,
,df1_vs_df2,0.658880767035275,high,addr_zip_or_citystate,9.9,0.6571428571428571,0.0,kaggle380k-309221,uber_eats-09547,,,kaggle_380k,uber_eats,Racha Noodles & Thai Cuisine Redmond,Racha Thai &amp; Asian Kitchen (Redmond),racha noodles thai cuisine redmond,racha thai amp asian kitchen redmond,,,,,,,Redmond,Redmond,WA,WA,98052,98052,47.6819732,47.681996,-122.1235584,-122.12343,['Thai restaurant'],['Thai' 'Asian' 'Vegetarian Friendly'],,,,
,df1_vs_df2,0.793173920276553,high,geo,17.1,1.0,0.0,kaggle380k-187349,uber_eats-36634,,,kaggle_380k,uber_eats,Umami Grill and Sushi,Umami Grill and Sushi,umami grill and sushi,umami grill and sushi,,,Farm to Market Rd,FM 1488 Rd,6950,6960,Magnolia,Magnolia,TX,TX,77354,77354,30.2211957,30.22105,-95.5747458,-95.57469,"['Asian restaurant' 'Japanese restaurant' 'Korean barbecue restaurant'
 'Korean restaurant' 'Restaurant' 'Sushi restaurant']",['Japanese: Sushi' 'Korean'],,,,
,df1_vs_df2,0.46623399517642145,high,geo,39.5,0.20512820512820512,0.0,kaggle380k-274463,uber_eats-37368,,,kaggle_380k,uber_eats,Dairy Queen,Starbucks (Loop 323 &amp; Troup),dairy queen,starbucks loop 323 amp troup,,,SE Loop E 323,E. Southeast Loop,1809,1817,Tyler,Tyler,TX,TX,75701,75703,32.3086057,32.3087643,-95.2782969,-95.2779203,['Fast food restaurant' 'Hamburger restaurant' 'Ice cream shop'],"['Bakery' 'Breakfast and Brunch' 'Cafe' 'Coffee &amp' 'Tea'
 'Group Friendly']",,,,
,df1_vs_df2,0.49799720135078845,high,geo,40.7,0.2857142857142857,0.0,kaggle380k-233935,uber_eats-19610,,,kaggle_380k,uber_eats,Rus Uz - Alexandria,Beverly Hills Burger Bungalow (209 Swamp Fox Rd),rus uz alexandria,beverly hills burger bungalow 209 swamp fox rd,,,Hoffman St,Swamp Fox Rd,210,209,Alexandria,Alexandria,VA,VA,22314,22314,38.802131,38.80226,-77.0708502,-77.07129,"['Russian restaurant' 'Caterer' 'Fine dining restaurant'
 'Halal restaurant' 'Lunch restaurant' 'Takeout restaurant'
 'Uzbeki restaurant']",['Burgers' 'American' 'Sandwich' 'Alcohol'],,,,
,df1_vs_df2,0.4901708212931519,high,geo,9.9,0.23529411764705882,0.0,kaggle380k-148227,uber_eats-42690,,,kaggle_380k,uber_eats,TAILGATERS BBQ,Antebellum Ale House,tailgaters bbq,antebellum ale house,,,E Oak St,E Oak St,321,321,Weatherford,Weatherford,TX,TX,76087,76086,32.7575516,32.75755,-97.7926355,-97.79253,['Barbecue restaurant'],['Burgers' 'American' 'Sandwiches'],,,,
,df1_vs_df2,0.6538730212650681,high,geo,10.5,0.6451612903225806,0.0,kaggle380k-259544,uber_eats-08255,,,kaggle_380k,uber_eats,Lanna Thai Restaurant,Lanna Thai,lanna thai restaurant,lanna thai,,,Evergreen Way,Evergreen Way,7825,7825,Everett,Everett,WA,WA,98203,98203,47.9266533,47.9267135,-122.2223322,-122.2224404,['Thai restaurant'],['Thai' 'Asian' 'Family Friendly'],,,,
,df1_vs_df2,0.7296530310576901,high,geo,6.6,0.8307692307692308,0.0,kaggle380k-131130,uber_eats-37827,,,kaggle_380k,uber_eats,El Paseo Mexican Restaurant - Fort Worth,El Paseo Mexican Restaurant,el paseo mexican restaurant fort worth,el paseo mexican restaurant,,,Jacksboro Hwy,Jacksboro Hwy,5436,5436,Fort Worth,Fort Worth,TX,TX,76114,76114,32.79787,32.79786,-97.40272,-97.40265,['Mexican restaurant'],['Mexican' 'Latin American' 'New Mexican'],,,,
,df1_vs_df2,0.7397258426057649,high,addr_zip_or_citystate,7.8,0.8571428571428571,0.0,kaggle380k-140930,uber_eats-20584,,,kaggle_380k,uber_eats,Italian Cafe,The Italian Cafe,italian cafe,the italian cafe,,,,,,,,,,,22046,22042,38.8788879,38.878945,-77.1795459,-77.179493,['Italian restaurant' 'Cafe'],['Italian' 'Pasta' 'Pizza'],,,,
,df1_vs_df2,0.4815040562570058,high,geo,24.8,0.22857142857142856,0.0,kaggle380k-242004,uber_eats-26573,,,kaggle_380k,uber_eats,Pizzeria Da Marco,Sala Thai (Bethesda),pizzeria da marco,sala thai bethesda,,,Woodmont Ave,Cordell Ave,8008,4828,Bethesda,Bethesda,MD,MD,20814,20814,38.9902457,38.990462,-77.0967067,-77.0967772,['Pizza restaurant'],['Thai' 'Family Friendly'],,,,
,df1_vs_df2,0.5339810868468987,high,geo,32.4,0.3673469387755102,0.0,kaggle380k-344273,uber_eats-23248,,,kaggle_380k,uber_eats,MoCo Nutrition,Moby Dick House of Kabob (Germantown),moco nutrition,moby dick house of kabob germantown,,,Century Blvd,Pinnacle Dr,19857-B,12844,Germantown,Germantown,MD,MD,20874,20874,39.1822545,39.1820402,-77.2646599,-77.2649145,['Health food restaurant'],"['Mediterranean' 'Greek' 'Vegetarian' 'Family Meals' 'Healthy'
 'Group Friendly']",,,,
,df1_vs_df2,0.49615461851151776,high,geo,16.0,0.2564102564102564,0.0,kaggle380k-145361,uber_eats-24174,,,kaggle_380k,uber_eats,Lemon Cuisine of India,Indian Spice Lane,lemon cuisine of india,indian spice lane,,,W Broad St,West Broad Street,3215,3215,Richmond,Richmond,VA,VA,23230,23230,37.5661232,37.56601,-77.4752825,-77.47517,['Indian restaurant'],['Vegetarian' 'Asian' 'Pakistani' 'Indian Curry' 'Vegan'],,,,
,df1_vs_df2,0.6458532697273462,high,geo,38.4,0.6530612244897959,0.0,kaggle380k-192054,uber_eats-57521,,,kaggle_380k,uber_eats,Los Toreados Restaurant,Los Toreados (N Zaragoza Rd),los toreados restaurant,los toreados n zaragoza rd,,,N Zaragoza Rd,N Zaragoza Rd,1155,1155,El Paso,El Paso,TX,TX,79907,79907,31.7171627,31.71684,-106.3082554,-106.30811,['Mexican restaurant'],['Mexican' 'Seafood' 'Burgers' 'Family Meals'],,,,
